date,spy_return,position,turnover,trading_cost,leverage_financing,net_return
2011-08-12 13:30:00+00:00,0.006732895570102482,0.0,0.0,0.0,0.0,0.0
2011-08-15 13:30:00+00:00,0.02116518205317841,0.0,0.0,0.0,0.0,0.0
2011-08-16 13:30:00+00:00,-0.00853916032125468,0.0,0.0,0.0,0.0,-0.0
2011-08-17 13:30:00+00:00,0.0006689052663020334,0.0,0.0,0.0,0.0,0.0
2011-08-18 13:30:00+00:00,-0.043119077270456274,0.0,0.0,0.0,0.0,-0.0
2011-08-19 13:30:00+00:00,-0.01633010533094903,0.0,0.0,0.0,0.0,-0.0
2011-08-22 13:30:00+00:00,0.0007994237446753427,0.0,0.0,0.0,0.0,0.0
2011-08-23 13:30:00+00:00,0.032910213638245756,0.0,0.0,0.0,0.0,0.0
2011-08-24 13:30:00+00:00,0.014084414523027,0.0,0.0,0.0,0.0,0.0
2011-08-25 13:30:00+00:00,-0.015243969892978604,0.0,0.0,0.0,0.0,-0.0
2011-08-26 13:30:00+00:00,0.01453400883574929,0.0,0.0,0.0,0.0,0.0
2011-08-29 13:30:00+00:00,0.028736135469318524,0.0,0.0,0.0,0.0,0.0
2011-08-30 13:30:00+00:00,0.002636516311598003,0.0,0.0,0.0,0.0,0.0
2011-08-31 13:30:00+00:00,0.004438069927765742,0.0,0.0,0.0,0.0,0.0
2011-09-01 13:30:00+00:00,-0.010472752677966324,0.0,0.0,0.0,0.0,-0.0
2011-09-02 13:30:00+00:00,-0.02555018990588731,0.0,0.0,0.0,0.0,-0.0
2011-09-06 13:30:00+00:00,-0.0072968386041526445,0.0,0.0,0.0,0.0,-0.0
2011-09-07 13:30:00+00:00,0.028207142939625784,0.0,0.0,0.0,0.0,0.0
2011-09-08 13:30:00+00:00,-0.010391558193659,0.0,0.0,0.0,0.0,-0.0
2011-09-09 13:30:00+00:00,-0.026209509180133317,0.0,0.0,0.0,0.0,-0.0
2011-09-12 13:30:00+00:00,0.006469963838573234,0.0,0.0,0.0,0.0,0.0
2011-09-13 13:30:00+00:00,0.00917104373314559,0.0,0.0,0.0,0.0,0.0
2011-09-14 13:30:00+00:00,0.013844030887465442,0.0,0.0,0.0,0.0,0.0
