open_time,level
1987-03-09 00:00:00+00:00,101.41
1987-03-10 00:00:00+00:00,101.83
1987-03-11 00:00:00+00:00,101.91
1987-03-12 00:00:00+00:00,102.14
1987-03-13 00:00:00+00:00,102.41
1987-03-16 00:00:00+00:00,102.55
1987-03-17 00:00:00+00:00,102.69
1987-03-18 00:00:00+00:00,102.98
1987-03-19 00:00:00+00:00,102.79
1987-03-20 00:00:00+00:00,100.82
1987-03-23 00:00:00+00:00,101.59
1987-03-24 00:00:00+00:00,101.63
1987-03-25 00:00:00+00:00,101.63
1987-03-26 00:00:00+00:00,101.72
1987-03-27 00:00:00+00:00,101.05
1987-03-30 00:00:00+00:00,99.73
1987-03-31 00:00:00+00:00,100.29
1987-04-01 00:00:00+00:00,100.62
1987-04-02 00:00:00+00:00,100.95
1987-04-03 00:00:00+00:00,102.43
1987-04-06 00:00:00+00:00,102.76
1987-04-07 00:00:00+00:00,101.92
1987-04-08 00:00:00+00:00,102.05
1987-04-09 00:00:00+00:00,101.16
1987-04-10 00:00:00+00:00,101.05
1987-04-13 00:00:00+00:00,98.48
1987-04-14 00:00:00+00:00,96.03
1987-04-15 00:00:00+00:00,98.03
1987-04-16 00:00:00+00:00,98.87
1987-04-20 00:00:00+00:00,98.57
1987-04-21 00:00:00+00:00,98.95
1987-04-22 00:00:00+00:00,98.7
1987-04-23 00:00:00+00:00,98.77
1987-04-24 00:00:00+00:00,98.34
1987-04-27 00:00:00+00:00,98.21
1987-04-28 00:00:00+00:00,98.4
1987-04-29 00:00:00+00:00,99.0
1987-04-30 00:00:00+00:00,99.72
1987-05-01 00:00:00+00:00,99.96
1987-05-04 00:00:00+00:00,100.17
1987-05-05 00:00:00+00:00,100.29
1987-05-06 00:00:00+00:00,100.45
1987-05-07 00:00:00+00:00,100.54
1987-05-08 00:00:00+00:00,101.03
1987-05-11 00:00:00+00:00,101.32
1987-05-12 00:00:00+00:00,101.6
1987-05-13 00:00:00+00:00,101.89
1987-05-14 00:00:00+00:00,102.55
1987-05-15 00:00:00+00:00,103.49
1987-05-18 00:00:00+00:00,103.43
1987-05-19 00:00:00+00:00,102.77
1987-05-20 00:00:00+00:00,102.73
1987-05-21 00:00:00+00:00,103.06
1987-05-22 00:00:00+00:00,103.24
1987-05-26 00:00:00+00:00,104.41
1987-05-27 00:00:00+00:00,104.66
1987-05-28 00:00:00+00:00,104.96
1987-05-29 00:00:00+00:00,105.1
1987-06-01 00:00:00+00:00,105.17
1987-06-02 00:00:00+00:00,104.93
1987-06-03 00:00:00+00:00,105.21
1987-06-04 00:00:00+00:00,105.22
1987-06-05 00:00:00+00:00,105.55
1987-06-08 00:00:00+00:00,105.47
1987-06-09 00:00:00+00:00,105.54
1987-06-10 00:00:00+00:00,105.59
1987-06-11 00:00:00+00:00,105.3
1987-06-12 00:00:00+00:00,104.36
1987-06-15 00:00:00+00:00,103.88
1987-06-16 00:00:00+00:00,103.29
1987-06-17 00:00:00+00:00,103.11
1987-06-18 00:00:00+00:00,102.64
1987-06-19 00:00:00+00:00,102.13
1987-06-22 00:00:00+00:00,102.71
1987-06-23 00:00:00+00:00,102.58
1987-06-24 00:00:00+00:00,102.54
1987-06-25 00:00:00+00:00,103.02
1987-06-26 00:00:00+00:00,102.8
1987-06-29 00:00:00+00:00,103.09
1987-06-30 00:00:00+00:00,102.7
1987-07-01 00:00:00+00:00,102.49
1987-07-02 00:00:00+00:00,103.17
1987-07-06 00:00:00+00:00,103.26
1987-07-07 00:00:00+00:00,103.98
1987-07-08 00:00:00+00:00,104.35
1987-07-09 00:00:00+00:00,104.43
1987-07-10 00:00:00+00:00,105.1
1987-07-13 00:00:00+00:00,105.36
1987-07-14 00:00:00+00:00,106.0
1987-07-15 00:00:00+00:00,106.08
