date,high_yield_return,investment_grade_return,weight_high_yield,weight_investment_grade,turnover,leverage,net_return
2019-03-28 13:30:00+00:00,0.001974881330750078,0.0012605140566990247,1.5724659911949745,-1.6031837601310364,0.0,3.0,0.0007465109076795267
2019-03-29 13:30:00+00:00,0.002550905158190231,-0.0007554906360890401,1.5688102943825721,-1.5941816693394637,0.0,3.0,0.004887084466409531
2019-04-01 13:30:00+00:00,-0.0002437620468686008,-0.003723339850634555,1.4924667060797927,-1.4872722858539513,0.16299196372203584,3.0,0.004802553263470453
2019-04-02 13:30:00+00:00,0.0004643810753146571,0.0013530596834854247,1.4956344746237442,-1.4917529268155347,0.0,3.0,-0.0016546123348309932
2019-04-03 13:30:00+00:00,0.0003481735445542977,-0.0021112832495316924,1.4911822179234668,-1.4836555178540352,0.0,3.0,0.0033349358628954086
2019-04-04 13:30:00+00:00,0.001508951187730423,0.0016075548833636155,1.4941349619766242,-1.486739720759864,0.0,3.0,-0.00047025395441498667
2019-04-05 13:30:00+00:00,0.0018549945835999448,0.0016057332133465607,1.4968332481912243,-1.4890540831435313,0.0,3.0,4.898745209078219e-05
2019-04-08 13:30:00+00:00,-0.0005783376869983314,-0.0014345559464199464,1.4945699426942671,-1.485528776081795,0.0,3.0,0.0009351388506158818
2019-04-09 13:30:00+00:00,-0.0006950897027510061,0.0021122505730752916,1.5003004179681056,-1.4954138725136035,0.0,3.0,-0.0045119866461240145
2019-04-10 13:30:00+00:00,0.0044025590732910125,0.004889385986646788,1.508477128571658,-1.50429271816342,0.0,3.0,-0.001041811875034898
2019-04-11 13:30:00+00:00,0.00149933540955427,-0.0010067702854423821,1.5055584065908383,-1.497625103288493,0.0,3.0,0.003440872922307059
2019-04-12 13:30:00+00:00,0.0014970907683540258,-0.0005877698314110669,1.503603928671433,-1.4925672993335475,0.0,3.0,0.0027988989858843396
2019-04-15 13:30:00+00:00,-0.0006892798460521599,-0.0015969121002796793,1.5010487974833386,-1.4886775901575717,0.0,3.0,0.0010117774359919755
2019-04-16 13:30:00+00:00,-0.0005759273840678647,-0.0027765714445909806,1.4957962239243345,-1.4802018398150723,0.0,3.0,0.002933607119423775
2019-04-17 13:30:00+00:00,-0.002418146890211359,-0.0001688425130297322,1.4977244208896336,-1.4854517317334668,0.0,3.0,-0.0037024514491643735
2019-04-18 13:30:00+00:00,0.00046178448608369393,0.0008441025792986778,1.4997621811284398,-1.4880412193811234,0.0,3.0,-0.0008975651965018496
2019-04-22 13:30:00+00:00,-0.0017304017686021744,-0.001602164705526099,1.4979855214468487,-1.4864693710363552,0.0,3.0,-0.0005464214689643123
2019-04-23 13:30:00+00:00,0.0034669335931982737,0.004138631039421137,1.5051263446092487,-1.4945550484851722,0.0,3.0,-0.0012938494120086214
2019-04-24 13:30:00+00:00,-0.00138219122380423,0.003364630163356086,1.5143190399494204,-1.5108307734926139,0.0,3.0,-0.007444314881482232
2019-04-25 13:30:00+00:00,0.00046167335988389624,-0.0005027972434369365,1.5133180313643158,-1.5083765540773824,0.0,3.0,0.0011234448470039257
2019-04-26 13:30:00+00:00,0.002535547253163628,0.0035226897966567083,1.5199088471784117,-1.5164375339866476,0.0,3.0,-0.0018117707792932808
2019-04-29 13:30:00+00:00,-0.00045931498351603484,-0.003928825131475633,1.511766213633089,-1.5030779836312675,0.0,3.0,0.004924383526434587
2019-04-30 13:30:00+00:00,0.00011470208677555327,0.00042015182043741994,1.513140195780547,-1.5049035487408084,0.0,3.0,-0.0007934356719790517
