open_time,PUT,BXM,BXMD,PPUT,CMBO
2020-09-08 00:00:00+00:00,1819.95,1341.22,2736.18,1207.33,1876.09
2020-09-09 00:00:00+00:00,1841.86,1359.35,2782.52,1225.81,1903.29
2020-09-10 00:00:00+00:00,1826.84,1347.18,2746.28,1206.75,1883.1
2020-09-11 00:00:00+00:00,1831.35,1351.02,2751.67,1204.49,1887.27
2020-09-14 00:00:00+00:00,1850.81,1365.33,2787.11,1217.07,1909.46
2020-09-15 00:00:00+00:00,1858.07,1371.2,2801.6,1222.89,1918.17
2020-09-16 00:00:00+00:00,1858.69,1370.45,2791.86,1217.21,1915.14
2020-09-17 00:00:00+00:00,1851.85,1365.29,2769.46,1206.93,1903.92
2020-09-18 00:00:00+00:00,1848.53,1354.18,2743.9,1194.66,1890.44
2020-09-21 00:00:00+00:00,1836.68,1345.65,2720.71,1184.26,1876.84
2020-09-22 00:00:00+00:00,1848.98,1354.82,2744.56,1192.69,1891.01
2020-09-23 00:00:00+00:00,1822.47,1334.49,2689.77,1172.86,1859.67
2020-09-24 00:00:00+00:00,1827.0,1338.4,2697.72,1174.45,1864.74
2020-09-25 00:00:00+00:00,1848.17,1353.96,2737.4,1185.88,1888.67
2020-09-28 00:00:00+00:00,1863.49,1365.23,2770.68,1200.47,1906.98
2020-09-29 00:00:00+00:00,1859.2,1362.33,2761.21,1195.87,1901.88
2020-09-30 00:00:00+00:00,1867.03,1369.03,2778.83,1203.73,1911.53
2020-10-01 00:00:00+00:00,1871.79,1371.78,2789.13,1208.95,1917.13
2020-10-02 00:00:00+00:00,1867.24,1367.47,2773.01,1197.91,1909.8
2020-10-05 00:00:00+00:00,1882.14,1379.95,2811.7,1216.04,1929.74
2020-10-06 00:00:00+00:00,1874.24,1374.04,2787.74,1200.55,1918.72
2020-10-07 00:00:00+00:00,1887.45,1383.84,2823.16,1219.09,1936.32
2020-10-08 00:00:00+00:00,1893.03,1388.43,2839.77,1228.71,1943.8
2020-10-09 00:00:00+00:00,1896.01,1390.37,2851.12,1239.25,1948.2
2020-10-12 00:00:00+00:00,1897.06,1390.74,2860.28,1259.51,1951.9
2020-10-13 00:00:00+00:00,1897.34,1390.85,2861.54,1251.51,1951.68
2020-10-14 00:00:00+00:00,1897.36,1390.39,2860.66,1243.33,1951.46
2020-10-15 00:00:00+00:00,1897.64,1390.35,2862.34,1241.42,1951.66
2020-10-19 00:00:00+00:00,1877.06,1376.16,2820.99,1228.86,1930.17
2020-10-20 00:00:00+00:00,1881.89,1380.15,2831.72,1233.17,1935.75
2020-10-21 00:00:00+00:00,1881.37,1379.48,2828.76,1229.79,1935.03
2020-10-22 00:00:00+00:00,1887.99,1384.86,2842.55,1233.45,1942.78
2020-10-23 00:00:00+00:00,1893.24,1389.07,2852.79,1235.82,1948.76
2020-10-26 00:00:00+00:00,1868.07,1369.43,2803.37,1222.79,1919.95
2020-10-27 00:00:00+00:00,1864.65,1367.84,2797.51,1220.06,1916.55
2020-10-28 00:00:00+00:00,1811.58,1327.48,2704.21,1201.32,1858.48
2020-10-29 00:00:00+00:00,1830.3,1343.51,2736.79,1205.5,1879.3
2020-10-30 00:00:00+00:00,1812.09,1319.18,2703.35,1197.24,1859.53
2020-11-02 00:00:00+00:00,1834.2,1345.81,2737.52,1202.4,1881.95
2020-11-03 00:00:00+00:00,1860.64,1365.27,2783.52,1211.78,1910.72
2020-11-04 00:00:00+00:00,1894.84,1390.45,2844.2,1224.99,1948.15
2020-11-05 00:00:00+00:00,1917.32,1407.67,2893.06,1242.3,1974.9
2020-11-06 00:00:00+00:00,1922.88,1411.45,2898.11,1239.34,1979.85
2020-11-09 00:00:00+00:00,1932.57,1421.43,2918.96,1262.15,1991.8
2020-11-10 00:00:00+00:00,1935.65,1419.7,2924.69,1249.36,1994.46
2020-11-11 00:00:00+00:00,1943.21,1426.54,2945.43,1257.6,2004.91
2020-11-12 00:00:00+00:00,1937.31,1421.47,2924.66,1246.2,1996.24
2020-11-13 00:00:00+00:00,1947.6,1429.2,2957.78,1261.65,2010.5
2020-11-16 00:00:00+00:00,1953.23,1432.64,2983.03,1275.78,2019.01
2020-11-17 00:00:00+00:00,1953.45,1433.39,2979.7,1269.8,2019.31
2020-11-18 00:00:00+00:00,1952.76,1433.48,2956.39,1255.37,2015.83
2020-11-19 00:00:00+00:00,1954.68,1435.1,2969.27,1260.27,2021.39
2020-11-20 00:00:00+00:00,1948.67,1429.26,2950.63,1253.19,2013.17
2020-11-23 00:00:00+00:00,1957.68,1435.99,2967.77,1257.61,2023.54
2020-11-24 00:00:00+00:00,1970.84,1445.59,2998.13,1274.68,2040.03
2020-11-25 00:00:00+00:00,1970.84,1446.05,2997.77,1272.35,2039.95
2020-11-27 00:00:00+00:00,1973.22,1447.3,3002.75,1275.2,2042.8
2020-11-30 00:00:00+00:00,1972.7,1446.62,2997.61,1268.55,2040.92
2020-12-01 00:00:00+00:00,1979.3,1452.34,3016.49,1282.05,2050.38
2020-12-02 00:00:00+00:00,1980.48,1454.27,3020.14,1283.98,2052.11
2020-12-03 00:00:00+00:00,1981.32,1453.18,3020.84,1283.2,2052.77
2020-12-04 00:00:00+00:00,1986.77,1457.32,3036.21,1293.51,2060.18
2020-12-07 00:00:00+00:00,1987.93,1459.04,3038.75,1290.6,2061.87
2020-12-08 00:00:00+00:00,1989.72,1460.71,3044.68,1293.95,2064.71
2020-12-09 00:00:00+00:00,1987.66,1460.08,3036.36,1284.02,2061.21
