symbol,confirmed_at,signal,boundary,zg,zd,departure_price,retest_price
SCHB,762,1,7.378927500055372,7.378927500055372,7.262141828051405,7.885953490155768,7.809154138646701
SCHB,766,1,7.378927500055372,7.378927500055372,7.262141828051405,7.885953490155768,7.741783243342894
SCHB,774,1,7.666625022888183,7.666625022888183,7.566927672453691,7.913788193146707,7.816318660529082
SCHB,813,1,7.913788193146707,7.913788193146707,7.8607538808304716,8.33807871636267,8.1560353040185
SCHB,821,1,7.994061071792974,7.994061071792974,7.8607538808304716,8.292210995560128,8.094446655592566
SCHB,824,1,7.994061071792974,7.994061071792974,7.8607538808304716,8.292210995560128,8.041193566946719
SCHB,851,1,8.255651637828251,8.255651637828251,8.091569900512695,8.354957440863215,8.267162307432592
SCHB,875,1,8.354957440863215,8.354957440863215,8.267162307432592,8.500326451209538,8.438436111893315
SCHB,878,1,8.354957440863215,8.354957440863215,8.267162307432592,8.500326451209538,8.435556680600662
SCHB,880,1,8.354957440863215,8.354957440863215,8.267162307432592,8.500326451209538,8.432679359650514
SCHB,885,1,8.366470567573959,8.366470567573959,8.267162307432592,8.548854312013871,8.466445680378184
SCHB,914,1,8.543071257702303,8.543071257702303,8.466445680378184,8.674638139242326,8.596567320230772
SCHB,930,-1,8.596567320230772,8.624037017411803,8.596567320230772,8.420178910598466,8.556082127575305
SCHB,950,1,8.556082127575305,8.556082127575305,8.469337202129145,8.782668852311312,8.720234380725286
SCHB,975,1,8.556082127575305,8.556082127575305,8.469337202129145,9.051276101245852,8.922049870330971
SCHB,984,1,8.782668852311312,8.782668852311312,8.720234380725286,9.10354239215413,8.987385337666085
SCHB,989,1,8.782668852311312,8.782668852311312,8.720234380725286,9.10354239215413,8.955446056946741
SCHB,1001,1,9.051276101245852,9.051276101245852,8.955446056946741,9.376501592896053,9.216793978937291
SCHB,1014,1,9.10354239215413,9.10354239215413,8.955446056946741,9.46689063635652,9.415831304730537
SCHB,1053,1,9.46689063635652,9.46689063635652,9.415831304730537,9.690106426017929,9.4946142327485
SCHB,1079,-1,9.4946142327485,9.80390058583746,9.4946142327485,9.16081984339031,9.406902211572678
SCHB,1083,-1,9.4946142327485,9.80390058583746,9.4946142327485,9.16081984339031,9.45377733911221
SCHB,1114,1,9.502114166143546,9.502114166143546,9.272141487672187,9.732087125394038,9.641270033372987
SCHB,1119,1,9.502114166143546,9.502114166143546,9.272141487672187,9.732087125394038,9.53727181698634
SCHB,1134,1,9.502114166143546,9.502114166143546,9.272141487672187,9.959129792908112,9.802396826110526
SCHB,1141,1,9.502114166143546,9.502114166143546,9.272141487672187,9.959129792908112,9.60962873285051
SCHB,1157,1,9.732087125394038,9.732087125394038,9.60962873285051,10.056860973228849,9.984776367301379
SCHB,1164,1,9.959129792908112,9.959129792908112,9.60962873285051,10.142189958077457,9.959767436277115
SCHB,1172,1,10.056860973228849,10.056860973228849,9.984776367301379,10.211333326489749,10.061272747104034
SCHB,1191,1,10.142189958077457,10.142189958077457,10.00390053904773,10.424651107790698,10.224575153327448
SCHB,1205,1,10.211333326489749,10.211333326489749,10.00390053904773,10.498211862876701,10.37148992815336
SCHB,1219,-1,10.37148992815336,10.457194030135357,10.37148992815336,9.64301797435172,10.016859680484645
SCHB,1234,-1,10.37148992815336,10.457194030135357,10.37148992815336,9.244059575067533,10.007992447987865
SCHB,1268,-1,9.350448518663043,9.552617451232047,9.350448518663043,8.336077150283716,8.957120873006293
SCHB,1284,1,8.957120873006293,8.957120873006293,8.698311543943396,9.563979353753842,9.333429899652518
SCHB,1295,1,8.957120873006293,8.957120873006293,8.698311543943396,9.810887542541066,9.617524611041583
SCHB,1309,1,9.563979353753842,9.563979353753842,9.333429899652518,10.118777337740903,9.983427016010193
SCHB,1314,1,9.563979353753842,9.563979353753842,9.333429899652518,10.118777337740903,9.773702403524709
SCHB,1325,1,9.810887542541066,9.810887542541066,9.773702403524709,10.25570470887302,9.965966955762498
SCHB,1352,1,10.118777337740903,10.118777337740903,9.965966955762498,10.585760111230972,10.39907589365341
SCHB,1390,1,10.394594413330514,10.394594413330514,10.343816763875987,10.64101762427238,10.445921443583815
SCHB,1399,1,10.452841812054547,10.452841812054547,10.445921443583815,10.763919830322266,10.643920461333716
SCHB,1407,1,10.64101762427238,10.64101762427238,10.445921443583815,10.843419980422224,10.688920675257503
SCHB,1421,-1,10.688920675257503,10.843419980422224,10.688920675257503,10.145926254689169,10.577922322241028
SCHB,1423,-1,10.688920675257503,10.843419980422224,10.688920675257503,10.145926254689169,10.58391972506942
SCHB,1427,-1,10.688920675257503,10.843419980422224,10.688920675257503,10.157923724609786,10.540421294633212
SCHB,1431,-1,10.688920675257503,10.843419980422224,10.688920675257503,10.157923724609786,10.568919620271284
SCHB,1448,1,10.568919620271284,10.568919620271284,10.246423082315264,10.873417974722155,10.72942329141957
SCHB,1483,1,10.568919620271284,10.568919620271284,10.270116223332563,11.111139043267494,11.035779129080643
SCHB,1502,1,10.873417974722155,10.873417974722155,10.270116223332563,11.392989746485634,11.088529336598926
SCHB,1506,1,11.111139043267494,11.111139043267494,11.088529336598926,11.38092947269009,11.290496355564114
SCHB,1520,1,11.38092947269009,11.38092947269009,11.290496355564114,11.73333825415881,11.596850263689483
SCHB,1537,1,11.38092947269009,11.38092947269009,11.290496355564114,12.062423976325183,11.678743989365206
SCHB,1563,-1,11.678743989365206,11.897121449095795,11.678743989365206,10.35026916640136,11.337522424760712
SCHB,1582,-1,11.615049016083677,11.897121449095795,11.615049016083677,7.791893035013375,9.4243404098406
SCHB,1589,-1,10.35026916640136,11.337522424760712,10.35026916640136,8.72872739034375,10.077243968130041
SCHB,1592,-1,10.35026916640136,11.337522424760712,10.35026916640136,8.72872739034375,10.184024974395843
SCHB,1594,-1,10.35026916640136,11.337522424760712,10.35026916640136,8.72872739034375,10.264874804792475
SCHB,1596,1,9.4243404098406,9.4243404098406,8.72872739034375,10.264874804792475,9.72638443727645
SCHB,1605,1,9.4243404098406,9.4243404098406,8.72872739034375,10.629459352585583,10.017748367131915
SCHB,1635,1,10.611154607550237,10.611154607550237,10.588273328825244,11.74915391620053,10.734718212165932
SCHB,1644,1,10.745397470245344,10.745397470245344,10.734718212165932,11.445586001008287,10.87863053026899
