date,gross_return,turnover,trading_cost,short_borrow,financing_cost,gross_exposure,net_return
2024-02-21 00:00:00+00:00,0.0015349116218832948,0.5,0.0005,1.984126984126984e-05,7.936507936507937e-05,1.5,0.0009357052726769456
2024-02-22 00:00:00+00:00,0.009262085006371823,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.009162878657165472
2024-02-23 00:00:00+00:00,-6.818971999145162e-05,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.00016739606919780083
2024-02-26 00:00:00+00:00,0.00011468036642681145,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,1.5474017220462247e-05
2024-02-27 00:00:00+00:00,0.0015204800890574743,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.001421273739851125
2024-02-28 00:00:00+00:00,-0.0014065103390638045,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.0015057166882701538
2024-02-29 00:00:00+00:00,0.0014847389960946922,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.0013855326468883429
2024-03-01 00:00:00+00:00,0.0017593669592490535,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.0016601606100427042
2024-03-04 00:00:00+00:00,-0.0013289908742203371,0.5,0.0005,0.0,0.0,1.0,-0.0018289908742203371
2024-03-05 00:00:00+00:00,-0.004963923320565389,0.0,0.0,0.0,0.0,1.0,-0.004963923320565389
2024-03-06 00:00:00+00:00,0.0007182563909597928,0.0,0.0,0.0,0.0,1.0,0.0007182563909597928
2024-03-07 00:00:00+00:00,0.0029801180747074385,0.0,0.0,0.0,0.0,1.0,0.0029801180747074385
2024-03-08 00:00:00+00:00,-0.002995861308530967,0.5,0.0005,0.0,0.0,0.5,-0.003495861308530967
2024-03-11 00:00:00+00:00,-0.000837241116948273,0.0,0.0,0.0,0.0,0.5,-0.000837241116948273
2024-03-12 00:00:00+00:00,0.00478015520109043,0.0,0.0,0.0,0.0,0.5,0.00478015520109043
2024-03-13 00:00:00+00:00,-0.0003322814516986683,0.0,0.0,0.0,0.0,0.5,-0.0003322814516986683
2024-03-14 00:00:00+00:00,-0.0019949654956422647,0.0,0.0,0.0,0.0,0.5,-0.0019949654956422647
2024-03-15 00:00:00+00:00,-0.0030046572408739536,0.0,0.0,0.0,0.0,0.5,-0.0030046572408739536
2024-03-18 00:00:00+00:00,0.0026869201688870525,0.0,0.0,0.0,0.0,0.5,0.0026869201688870525
2024-03-19 00:00:00+00:00,0.002756097263033941,0.0,0.0,0.0,0.0,0.5,0.002756097263033941
2024-03-20 00:00:00+00:00,0.005057215205945931,0.0,0.0,0.0,0.0,0.5,0.005057215205945931
2024-03-21 00:00:00+00:00,0.0018145245180496428,0.0,0.0,0.0,0.0,0.5,0.0018145245180496428
2024-03-22 00:00:00+00:00,-0.0010683683246912046,0.0,0.0,0.0,0.0,0.5,-0.0010683683246912046
2024-03-25 00:00:00+00:00,-0.0010707528828056145,0.0,0.0,0.0,0.0,0.5,-0.0010707528828056145
2024-03-26 00:00:00+00:00,-0.0009903591391250965,0.0,0.0,0.0,0.0,0.5,-0.0009903591391250965
2024-03-27 00:00:00+00:00,0.006233830446018218,0.5,0.0005,0.0,0.0,1.0,0.005733830446018218
2024-03-28 00:00:00+00:00,0.0031273711077405286,0.0,0.0,0.0,0.0,1.0,0.0031273711077405286
2024-04-01 00:00:00+00:00,-0.0023037817676861416,0.5,0.0005,0.0,7.936507936507937e-05,1.5,-0.002883146847051221
2024-04-02 00:00:00+00:00,0.001680724825022517,0.5,0.0005,0.0,0.0,1.0,0.001180724825022517
2024-04-03 00:00:00+00:00,0.016087352962123158,0.0,0.0,0.0,0.0,1.0,0.016087352962123158
2024-04-04 00:00:00+00:00,-0.003474397769832438,0.0,0.0,0.0,0.0,1.0,-0.003474397769832438
2024-04-05 00:00:00+00:00,0.00906860424985767,0.0,0.0,0.0,0.0,1.0,0.00906860424985767
2024-04-08 00:00:00+00:00,0.004958437808115557,0.0,0.0,0.0,0.0,1.0,0.004958437808115557
2024-04-09 00:00:00+00:00,0.003085458997667878,0.0,0.0,0.0,0.0,1.0,0.003085458997667878
2024-04-10 00:00:00+00:00,-0.004060639782734188,0.0,0.0,0.0,0.0,1.0,-0.004060639782734188
2024-04-11 00:00:00+00:00,0.004106768033100949,0.0,0.0,0.0,0.0,1.0,0.004106768033100949
2024-04-12 00:00:00+00:00,-0.006952073570465123,0.5,0.0005,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.007551279919671472
2024-04-15 00:00:00+00:00,0.004291250088754306,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.004192043739547957
2024-04-16 00:00:00+00:00,-0.003122978240262475,0.5,0.0005,1.984126984126984e-05,0.0,1.0,-0.003642819510103745
2024-04-17 00:00:00+00:00,0.003990988234129467,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.003971146964288197
2024-04-18 00:00:00+00:00,0.008100843261689472,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.008081001991848202
2024-04-19 00:00:00+00:00,0.006170750536886649,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.006150909267045379
2024-04-22 00:00:00+00:00,-0.0018136426766591218,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0018334839465003916
2024-04-23 00:00:00+00:00,-0.011183276224750294,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.011203117494591564
2024-04-24 00:00:00+00:00,0.003803694642241784,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.003783853372400514
2024-04-25 00:00:00+00:00,0.006930725711478236,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0069108844416369665
2024-04-26 00:00:00+00:00,-0.000598532044262079,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0006183733141033488
2024-04-29 00:00:00+00:00,0.005483515347503465,0.5,0.0005,3.968253968253968e-05,7.936507936507937e-05,1.5,0.004864467728455845
2024-04-30 00:00:00+00:00,0.002826451934822838,0.0,0.0,3.968253968253968e-05,7.936507936507937e-05,1.5,0.002707404315775219
2024-05-01 00:00:00+00:00,-0.0015927274486818854,0.0,0.0,3.968253968253968e-05,7.936507936507937e-05,1.5,-0.0017117750677295043
2024-05-02 00:00:00+00:00,-0.01029133948974792,0.0,0.0,3.968253968253968e-05,7.936507936507937e-05,1.5,-0.010410387108795539
2024-05-03 00:00:00+00:00,-0.005851448277348681,0.5,0.0005,3.968253968253968e-05,0.00015873015873015873,2.0,-0.00654986097576138
2024-05-06 00:00:00+00:00,-0.0011283943492619297,0.5,0.0005,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.001727600698468279
2024-05-07 00:00:00+00:00,-0.00048545563659296853,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.0005846619857993177
2024-05-08 00:00:00+00:00,-0.0034842530313790587,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.003583459380585408
2024-05-09 00:00:00+00:00,-0.002008187745752399,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.002107394094958748
2024-05-10 00:00:00+00:00,-0.00020647889442432232,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.0003056852436306715
2024-05-13 00:00:00+00:00,0.009403447916656538,0.5,0.0005,0.0,0.0,1.0,0.008903447916656537
2024-05-14 00:00:00+00:00,-0.003272344133800009,0.0,0.0,0.0,0.0,1.0,-0.003272344133800009
2024-05-15 00:00:00+00:00,0.00461190145846313,0.5,0.0005,0.0,7.936507936507937e-05,1.5,0.0040325363790980505
2024-05-16 00:00:00+00:00,0.0014008054084290178,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.0013214403290639385
2024-05-17 00:00:00+00:00,0.01086933647320254,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.01078997139383746
2024-05-20 00:00:00+00:00,0.007395564945727795,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.007316199866362716
2024-05-21 00:00:00+00:00,0.0014150501681180483,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.001335685088752969
2024-05-22 00:00:00+00:00,-0.012055551173423606,0.0,0.0,0.0,7.936507936507937e-05,1.5,-0.012134916252788687
2024-05-23 00:00:00+00:00,-0.003088023690641817,0.0,0.0,0.0,7.936507936507937e-05,1.5,-0.003167388770006896
2024-05-24 00:00:00+00:00,0.003902468226272826,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.003823103146907747
2024-05-28 00:00:00+00:00,0.0078009142303650525,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.007721549150999973
2024-05-29 00:00:00+00:00,0.0015648947726836782,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.001485529693318599
2024-05-30 00:00:00+00:00,-0.013658587264596067,0.5,0.0005,0.0,0.00015873015873015873,2.0,-0.014317317423326226
2024-05-31 00:00:00+00:00,-0.0006633062091208064,0.0,0.0,0.0,0.00015873015873015873,2.0,-0.0008220363678509651
2024-06-03 00:00:00+00:00,0.0015038488734105404,0.0,0.0,0.0,0.00015873015873015873,2.0,0.0013451187146803817
2024-06-04 00:00:00+00:00,-0.0012216126192752252,0.0,0.0,0.0,0.00015873015873015873,2.0,-0.001380342778005384
2024-06-05 00:00:00+00:00,0.004450266880805354,0.0,0.0,0.0,0.00015873015873015873,2.0,0.004291536722075195
2024-06-06 00:00:00+00:00,0.0034495601166539824,0.0,0.0,0.0,0.00015873015873015873,2.0,0.003290829957923824
2024-06-07 00:00:00+00:00,-0.019814391558103106,0.0,0.0,0.0,0.00015873015873015873,2.0,-0.019973121716833266
2024-06-10 00:00:00+00:00,0.0012798063672920246,0.5,0.0005,0.0,7.936507936507937e-05,1.5,0.0007004412879269452
2024-06-11 00:00:00+00:00,0.0033791698109087998,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.0032998047315437205
2024-06-12 00:00:00+00:00,0.006186805032840137,0.0,0.0,0.0,7.936507936507937e-05,1.5,0.006107439953475058
