,spot,spot,spot,spot,spot,perp,perp,perp,perp,perp
,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT
funding_time,,,,,,,,,,
2020-08-16 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-16 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-17 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-17 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-17 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,0.06999999999999999,-0.08
2020-08-18 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,-0.08,0.06999999999999999
2020-08-18 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-18 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,-0.08,0.06999999999999999
2020-08-19 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-19 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.22999999999999998,-0.08,-0.08,0.06999999999999999
2020-08-19 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-08-20 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-20 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-20 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-21 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-08-21 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-21 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-22 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,-0.08,0.06999999999999999
2020-08-22 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-22 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-23 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-23 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-23 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.22999999999999998,-0.08,-0.08,0.06999999999999999
2020-08-24 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-24 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-24 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.08,-0.22999999999999998,0.06999999999999999
2020-08-25 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.22999999999999998,0.06999999999999999,-0.08,-0.08
2020-08-25 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-08-25 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-26 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-26 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-26 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-27 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-27 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-27 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-28 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-28 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-28 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
