date,low_beta_return,high_beta_return,market_return,beta_low,beta_high,weight_low,weight_high,gross_exposure,turnover,leverage,net_return
2012-01-06 14:30:00+00:00,0.0033834448300786857,-0.0005112830373364963,-0.0025773492379160823,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-09 14:30:00+00:00,-0.00037435757666492986,0.0005115445814038999,0.0024276075674058983,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-10 14:30:00+00:00,0.0056223521616958205,0.026087172664643,0.008670541514185226,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-11 14:30:00+00:00,-0.0003729645543530946,0.0079760240396618,0.0005420701329852395,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-12 14:30:00+00:00,0.0037284201282348217,0.003956733395143575,0.002399306574785598,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-13 14:30:00+00:00,-0.004457540647321623,-0.01133047088536221,-0.00517353090261552,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-01-17 14:30:00+00:00,0.0059699990431614225,0.0,0.0038806239760427186,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-18 14:30:00+00:00,0.0051929809032524865,0.028400721395630768,0.011056210063207894,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-19 14:30:00+00:00,0.0033212041765442457,0.012112720116454367,0.005276726248987229,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-20 14:30:00+00:00,-0.0007357764257454047,-0.004308746122462348,0.003727237563885488,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-01-23 14:30:00+00:00,-0.001840103536615345,0.00721159852179265,-0.0025770360907105827,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-24 14:30:00+00:00,-0.0018435881886501582,0.004295870856697803,-0.0011392967698335976,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-25 14:30:00+00:00,0.007018685597498964,0.012357517512987748,0.008367161286091163,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-26 14:30:00+00:00,-0.003301618606912804,-0.010328617968409004,-0.005129467152356737,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-01-27 14:30:00+00:00,-0.0007361336735348667,0.0,-0.00045451749735991864,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-30 14:30:00+00:00,-0.004788070631889574,-0.010436625125146981,-0.0034142306318714066,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-01-31 14:30:00+00:00,0.0018505968657300809,-0.0038350154957964566,-0.00038040944435024926,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-01 14:30:00+00:00,0.009234966418261825,0.01876874397846051,0.008757084073840016,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-02 14:30:00+00:00,-0.0036604601398875225,0.00425058764655839,0.0015854310252996218,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-03 14:30:00+00:00,0.006245874392946327,0.03010341491330526,0.01401840591146808,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-06 14:30:00+00:00,-0.0040164431923177535,0.0,-0.0006688807954280396,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-07 14:30:00+00:00,0.006232044726864006,0.0013701827362317953,0.002528971975995997,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-08 14:30:00+00:00,-0.003643123477732324,0.005016103110792258,0.002967515785235797,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-09 14:30:00+00:00,0.002924880529724838,0.0036294867395170183,0.0012575280435944691,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-10 14:30:00+00:00,-0.007291104842953144,-0.01627499845152569,-0.00738834720218795,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-02-13 14:30:00+00:00,0.0033049799038038508,0.012408502312649672,0.007443341191253339,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-14 14:30:00+00:00,0.0025625514788047976,-0.009532735915734225,-0.001255948652942096,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-15 14:30:00+00:00,-0.0014605331170095548,-0.0018329894802612268,-0.00466008861533973,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-02-16 14:30:00+00:00,0.006581141582346239,0.01744702995476155,0.011073131931699898,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-17 14:30:00+00:00,0.001816496685371538,0.0036101379903166197,0.002645827455180383,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-21 14:30:00+00:00,-0.0036261333541283136,-0.0008994902585063302,0.0004395676226842671,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-02-22 14:30:00+00:00,0.000727920740924759,-0.013051009815315928,-0.003223566706236247,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-23 14:30:00+00:00,0.005091283045257189,0.012312309046774272,0.004410408691567502,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-24 14:30:00+00:00,0.0021703944663828967,-0.0018023223762402285,0.0021957368206377836,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-27 14:30:00+00:00,-0.002165694055987877,0.0,0.0016799490815859741,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-28 14:30:00+00:00,0.003979389051914417,-0.0018050689951583099,0.002915953691837281,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-02-29 14:30:00+00:00,-0.003963616280680982,-0.013562397003577753,-0.00392539192525887,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-03-01 14:30:00+00:00,0.0021703944663828967,0.00962448357598955,0.005181594463887773,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-02 14:30:00+00:00,-0.002165694055987877,-0.006809053316308988,-0.003049337841364297,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-03-05 14:30:00+00:00,0.004340970312881609,-0.020109544098188104,-0.004077790552410532,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-06 14:30:00+00:00,-0.008285209725861331,-0.028917931199189395,-0.014625773595793756,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-03-07 14:30:00+00:00,0.004359045730099265,0.014408796838179638,0.006976156769166186,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-08 14:30:00+00:00,0.006871459662992407,0.016572215675281887,0.009948899983267756,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-09 14:30:00+00:00,0.0025148678472106667,0.007917775511857128,0.0038674810703316354,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-12 13:30:00+00:00,0.0053743933150594,-0.008317583956334307,7.273869910795483e-05,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-13 13:30:00+00:00,-0.00035661579472079374,0.032152577872505805,0.018025679818256313,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-14 13:30:00+00:00,0.0017823746073324376,-0.003611869797989775,-0.0010706316074429179,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-15 13:30:00+00:00,0.001067432834737092,0.0163119753330061,0.005789291600347246,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-16 13:30:00+00:00,0.00035590680089425675,0.006786623902601097,0.001384804457780664,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-19 13:30:00+00:00,0.002842678263995868,0.004878002127177039,0.003920161202369599,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-20 13:30:00+00:00,-0.0017715488928041756,-0.011032668826610914,-0.0029106787918686816,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-03-21 13:30:00+00:00,0.0003549563663503008,-0.004016281256776,-0.0016381941866140393,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-22 13:30:00+00:00,-0.003548482074792858,-0.022401564195181023,-0.007203397158360936,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-03-23 13:30:00+00:00,-3.606467288541637e-05,0.009624446836256517,0.0032330895299594875,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-26 13:30:00+00:00,0.00965666442950508,0.010894281053116517,0.014034543833567614,,,0.0,0.0,0.0,0.0,2.0,0.0
