symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
QQQ,A12_close_location_value_10,trend,False,-0.03972834615436863,0.3333333333333333,0.5404737895995029,0.3526959806655301,0.054083853713278965,0.004378030784425738,2502,251,False,False,False,True,True,True,True
QQQ,A13_intraday_range_position_10,trend,False,-0.03972834615436863,0.3333333333333333,0.5404737895995027,0.35269598066553015,0.054083853713278944,0.004378030784425772,2502,251,False,False,False,True,True,True,True
QQQ,A14_gap_proxy,trend,False,-0.039083598240684476,0.5,1.0,0.7115080625905174,0.17630078434629481,-0.6961672759844459,2510,251,False,False,False,False,True,True,True
QQQ,A26_chan_pivot_position,trend,False,-0.01890602660195806,0.16666666666666666,0.38345189226130144,0.19513617700762623,0.031234028041167778,0.4410807632498632,2486,251,False,False,True,True,True,True,True
QQQ,A20_market_breadth_24,regime,False,-0.0415796571009802,0.16666666666666666,0.43399041446830333,0.20668952875210983,0.03812023519848518,0.4252394522099828,2487,251,False,False,True,True,True,True,True
QQQ,A23_cross_sectional_relative_strength_24,relative_value,False,0.02171342080205045,0.8333333333333334,0.5162446338748677,0.3506640558594384,0.0384771953326078,0.25750513806222924,2463,251,True,True,False,True,True,True,True
AAPL,A01_ts_momentum_12,trend,False,-0.008144721081348684,0.3333333333333333,0.38142549259584235,0.25594237232850536,0.03314002456031011,0.7451596530357175,2463,251,False,False,True,True,True,True,True
AAPL,A01_ts_momentum_24,trend,False,-0.03530753607400889,0.3333333333333333,0.35780906685503494,0.22333370550319048,0.01729732484278393,1.5172890547978097,2463,251,False,False,True,True,True,True,True
AAPL,A01_ts_momentum_48,trend,False,-0.015957114606541378,0.3333333333333333,0.404655017740749,0.22869886688993654,0.011583538874370178,1.44373831813369,2463,251,False,False,True,True,True,True,True
AAPL,A01_ts_momentum_72,trend,False,-0.01785022427457741,0.0,0.5663634182139508,0.22630045984186425,0.009082087753189944,1.1573785053485148,2439,251,False,False,False,True,True,True,True
