open_time,GROWTH,SVRPO,VXTH
2022-12-15 00:00:00+00:00,15.597755580443549,704.52,471.27
2022-12-16 00:00:00+00:00,15.49687737658611,703.51,465.72
2022-12-19 00:00:00+00:00,15.343915786971822,703.7,461.33
2022-12-20 00:00:00+00:00,15.397247667999881,704.91,461.73
2022-12-21 00:00:00+00:00,15.405187308126688,707.65,468.31
2022-12-22 00:00:00+00:00,15.367724914018284,706.09,463.35
2022-12-23 00:00:00+00:00,15.44566401621042,707.97,464.89
2022-12-27 00:00:00+00:00,15.373428424251019,708.93,462.32
2022-12-28 00:00:00+00:00,15.379514689118018,708.72,456.85
2022-12-29 00:00:00+00:00,15.453823394658155,709.48,464.15
2022-12-30 00:00:00+00:00,15.354951130776719,709.65,462.64
2023-01-03 00:00:00+00:00,15.391073036200531,710.81,460.34
2023-01-04 00:00:00+00:00,15.3539370538381,712.28,463.03
2023-01-05 00:00:00+00:00,15.365383096216007,711.87,457.54
2023-01-06 00:00:00+00:00,15.43688292851427,713.3,467.41
2023-01-09 00:00:00+00:00,15.426668032767811,713.72,466.9
2023-01-10 00:00:00+00:00,15.494495684616618,714.45,469.73
2023-01-11 00:00:00+00:00,15.533126370758106,713.34,475.82
2023-01-12 00:00:00+00:00,15.740540338680631,714.77,477.13
2023-01-13 00:00:00+00:00,15.91510959711268,715.34,479.06
2023-01-17 00:00:00+00:00,16.08831389233367,716.21,477.87
2023-01-18 00:00:00+00:00,16.023332516286775,716.6,471.31
2023-01-19 00:00:00+00:00,16.075186320726836,716.7,467.7
2023-01-20 00:00:00+00:00,16.308790442952866,716.86,475.02
2023-01-23 00:00:00+00:00,16.35475723202656,717.07,479.64
2023-01-24 00:00:00+00:00,16.368594877028688,717.24,478.73
2023-01-25 00:00:00+00:00,16.474511989413635,717.45,478.84
2023-01-26 00:00:00+00:00,16.521366237042795,717.54,484.06
2023-01-27 00:00:00+00:00,16.555675001039077,717.73,485.05
2023-01-30 00:00:00+00:00,16.45598732565311,718.04,479.31
2023-01-31 00:00:00+00:00,16.588167192014406,718.22,485.62
2023-02-01 00:00:00+00:00,17.308716737044485,718.11,489.93
2023-02-02 00:00:00+00:00,18.353282782834945,714.36,497.44
2023-02-03 00:00:00+00:00,17.77679642069372,717.84,491.72
2023-02-06 00:00:00+00:00,17.39932874652847,719.64,488.71
2023-02-07 00:00:00+00:00,18.126764546199716,718.25,494.39
2023-02-08 00:00:00+00:00,17.487608948170404,720.31,489.18
2023-02-09 00:00:00+00:00,17.03529342570718,721.02,485.44
2023-02-10 00:00:00+00:00,16.87031051554975,721.59,486.02
2023-02-13 00:00:00+00:00,17.177751159286615,721.31,491.13
2023-02-14 00:00:00+00:00,17.409986260373298,722.76,490.88
2023-02-15 00:00:00+00:00,18.0849264003418,723.13,491.58
2023-02-16 00:00:00+00:00,17.570720945109606,723.25,486.31
2023-02-17 00:00:00+00:00,17.678136685268047,723.82,484.93
2023-02-21 00:00:00+00:00,17.234367130302786,724.21,478.32
2023-02-22 00:00:00+00:00,17.181295921922814,724.42,475.89
2023-02-23 00:00:00+00:00,17.267397125210667,724.57,476.6
2023-02-24 00:00:00+00:00,16.796254653490106,724.68,472.4
2023-02-27 00:00:00+00:00,16.995559754177567,725.01,472.43
2023-02-28 00:00:00+00:00,16.877088628016754,725.2,470.02
2023-03-01 00:00:00+00:00,16.73287952236199,725.46,467.89
2023-03-02 00:00:00+00:00,16.81977730558529,726.93,470.53
2023-03-03 00:00:00+00:00,16.89599775301227,727.61,477.51
2023-03-06 00:00:00+00:00,16.912943833133838,728.21,477.49
2023-03-07 00:00:00+00:00,16.702522415934567,728.16,470.45
2023-03-08 00:00:00+00:00,16.77856637703203,728.79,470.79
2023-03-09 00:00:00+00:00,16.484419200090677,726.0,465.24
2023-03-10 00:00:00+00:00,16.257525969046284,722.57,463.28
2023-03-13 00:00:00+00:00,16.864857185870246,721.63,464.81
2023-03-14 00:00:00+00:00,17.364202300062807,727.38,467.56
2023-03-15 00:00:00+00:00,17.3574585464173,724.77,469.34
2023-03-16 00:00:00+00:00,17.96431492793408,728.67,470.59
2023-03-17 00:00:00+00:00,18.454002036914666,727.4,470.86
2023-03-20 00:00:00+00:00,18.59800312060864,729.92,468.38
2023-03-21 00:00:00+00:00,18.944526452665837,731.31,471.55
2023-03-22 00:00:00+00:00,18.497278522219496,731.08,465.47
2023-03-23 00:00:00+00:00,18.945620163911546,731.31,467.67
2023-03-24 00:00:00+00:00,18.81748725997949,732.31,468.52
2023-03-27 00:00:00+00:00,18.61267431585779,732.84,467.73
2023-03-28 00:00:00+00:00,18.542677977858027,732.98,466.19
2023-03-29 00:00:00+00:00,19.11873179967192,733.12,472.01
2023-03-30 00:00:00+00:00,19.21387230220853,733.24,474.46
2023-03-31 00:00:00+00:00,19.62101199010699,733.37,481.04
2023-04-03 00:00:00+00:00,19.415091543447655,734.42,482.22
2023-04-04 00:00:00+00:00,19.441945582408433,735.31,479.48
2023-04-05 00:00:00+00:00,19.243202246894153,736.0,478.26
2023-04-06 00:00:00+00:00,19.336991180797398,736.58,479.73
2023-04-10 00:00:00+00:00,19.697561783333207,737.34,479.89
2023-04-11 00:00:00+00:00,19.705365014191884,737.4,479.66
2023-04-12 00:00:00+00:00,19.515919910104184,737.88,477.58
2023-04-13 00:00:00+00:00,19.91084700981184,737.94,483.88
2023-04-14 00:00:00+00:00,19.8960697997242,738.47,482.88
2023-04-17 00:00:00+00:00,19.66443920385894,738.9,484.38
2023-04-18 00:00:00+00:00,19.89126966751734,739.02,484.8
2023-04-19 00:00:00+00:00,19.517721866398578,739.31,484.9
2023-04-20 00:00:00+00:00,19.24448900697333,739.46,482.92
2023-04-21 00:00:00+00:00,19.02428514054197,739.61,482.44
2023-04-24 00:00:00+00:00,18.95770799764509,739.97,482.04
2023-04-25 00:00:00+00:00,18.82431399970655,740.02,476.38
2023-04-26 00:00:00+00:00,18.94531651529549,740.16,473.18
2023-04-27 00:00:00+00:00,19.650132890281725,740.3,480.71
2023-04-28 00:00:00+00:00,19.738340521560502,740.51,483.96
2023-05-01 00:00:00+00:00,19.427345968604932,741.46,483.6
2023-05-02 00:00:00+00:00,19.263508866245513,741.47,478.77
2023-05-03 00:00:00+00:00,19.217695493661793,741.2,475.65
2023-05-04 00:00:00+00:00,19.11652028412993,740.33,473.53
2023-05-05 00:00:00+00:00,19.62778811446848,743.05,479.98
2023-05-08 00:00:00+00:00,19.243561998366456,743.98,479.56
2023-05-09 00:00:00+00:00,19.123378260767883,744.08,477.43
2023-05-10 00:00:00+00:00,19.3087136913429,744.53,478.95
2023-05-11 00:00:00+00:00,19.35705537464162,744.8,478.02
2023-05-12 00:00:00+00:00,19.294102887158747,745.02,477.35
2023-05-15 00:00:00+00:00,19.38671839792444,745.71,478.47
2023-05-16 00:00:00+00:00,19.409633521303686,745.72,475.32
2023-05-17 00:00:00+00:00,19.627794182505784,746.07,480.58
2023-05-18 00:00:00+00:00,19.95841560036912,746.12,484.26
2023-05-19 00:00:00+00:00,19.91535383359748,746.39,484.29
2023-05-22 00:00:00+00:00,19.980253289391705,746.92,484.55
2023-05-23 00:00:00+00:00,19.738113496493277,747.11,479.74
2023-05-24 00:00:00+00:00,19.637779183699124,747.09,477.45
2023-05-25 00:00:00+00:00,20.082214610510068,747.28,480.82
2023-05-26 00:00:00+00:00,20.558359519887563,747.41,485.73
2023-05-30 00:00:00+00:00,20.648620951811147,748.11,484.42
2023-05-31 00:00:00+00:00,20.517248055435648,748.35,481.34
2023-06-01 00:00:00+00:00,20.75042179062756,748.26,485.19
2023-06-02 00:00:00+00:00,20.896716272298576,743.3,491.81
2023-06-05 00:00:00+00:00,20.910948193293752,745.44,490.64
2023-06-06 00:00:00+00:00,20.90384317737175,746.16,491.67
2023-06-07 00:00:00+00:00,20.569670584536247,748.36,489.72
2023-06-08 00:00:00+00:00,20.79084212759683,747.03,492.74
2023-06-09 00:00:00+00:00,20.870091953774423,746.48,493.32
2023-06-12 00:00:00+00:00,21.204126492668376,739.74,497.96
2023-06-13 00:00:00+00:00,21.334858806859188,734.43,501.25
2023-06-14 00:00:00+00:00,21.461263034814476,735.59,501.71
2023-06-15 00:00:00+00:00,21.67023728988176,718.24,507.88
2023-06-16 00:00:00+00:00,21.554573068435353,727.61,505.96
2023-06-20 00:00:00+00:00,21.525248407372995,736.25,503.44
2023-06-21 00:00:00+00:00,21.742672162809637,744.7,500.02
2023-06-22 00:00:00+00:00,21.912965744196505,743.28,501.38
2023-06-23 00:00:00+00:00,21.939912330600063,750.85,497.81
2023-06-26 00:00:00+00:00,21.589359706893358,753.58,495.45
2023-06-27 00:00:00+00:00,21.99311727568611,748.96,500.23
2023-06-28 00:00:00+00:00,21.874608746548933,750.13,499.08
2023-06-29 00:00:00+00:00,21.927422763150332,748.04,501.42
2023-06-30 00:00:00+00:00,22.210308360718027,726.11,507.12
2023-07-03 00:00:00+00:00,22.430853157918385,726.96,507.45
2023-07-05 00:00:00+00:00,22.258876277095034,727.37,506.54
2023-07-06 00:00:00+00:00,21.954229290493185,727.13,503.88
2023-07-07 00:00:00+00:00,22.006996499918536,727.8,502.14
2023-07-10 00:00:00+00:00,22.03066604281295,728.61,502.84
2023-07-11 00:00:00+00:00,22.172042680647763,728.86,505.58
2023-07-12 00:00:00+00:00,22.340151734766646,729.44,508.74
2023-07-13 00:00:00+00:00,22.936857594521708,728.81,513.13
2023-07-14 00:00:00+00:00,22.613701611710383,729.53,512.47
2023-07-17 00:00:00+00:00,22.708969511068634,729.76,514.21
2023-07-18 00:00:00+00:00,22.754585426488436,728.87,517.78
2023-07-19 00:00:00+00:00,22.771253925844213,728.9,519.05
2023-07-20 00:00:00+00:00,22.356519145371713,730.67,515.69
2023-07-21 00:00:00+00:00,22.343084593987424,731.42,515.44
2023-07-24 00:00:00+00:00,22.35356119831304,731.72,516.77
2023-07-25 00:00:00+00:00,22.460058635301927,731.7,517.71
2023-07-26 00:00:00+00:00,22.405169553748596,732.42,516.61
2023-07-27 00:00:00+00:00,22.35968045334134,732.5,515.14
2023-07-28 00:00:00+00:00,22.64678302846832,732.75,518.54
2023-07-31 00:00:00+00:00,22.65748446755482,733.22,518.83
2023-08-01 00:00:00+00:00,22.615928659610276,733.6,517.37
2023-08-02 00:00:00+00:00,22.264791703789744,732.47,512.97
2023-08-03 00:00:00+00:00,22.22705053985502,732.28,511.51
2023-08-04 00:00:00+00:00,22.153682592436297,731.76,510.3
2023-08-07 00:00:00+00:00,22.2840962111436,734.24,511.66
2023-08-08 00:00:00+00:00,22.148558241208242,734.17,509.64
2023-08-09 00:00:00+00:00,21.973180577347044,734.03,505.67
2023-08-10 00:00:00+00:00,21.996828816796164,734.52,505.48
2023-08-11 00:00:00+00:00,21.892085061925474,735.5,503.98
2023-08-14 00:00:00+00:00,22.01202941706566,736.88,506.01
2023-08-15 00:00:00+00:00,21.899263486601136,736.03,500.08
2023-08-16 00:00:00+00:00,21.77792036983725,735.66,497.26
2023-08-17 00:00:00+00:00,21.65502737769551,734.44,494.88
2023-08-18 00:00:00+00:00,21.638229607054754,735.71,493.25
2023-08-21 00:00:00+00:00,21.812813044888085,737.6,495.6
2023-08-22 00:00:00+00:00,21.796597510697165,738.07,493.99
2023-08-23 00:00:00+00:00,21.967970193761,738.94,498.42
2023-08-24 00:00:00+00:00,21.726538032199873,738.79,492.48
2023-08-25 00:00:00+00:00,21.812392834442885,739.44,494.38
2023-08-28 00:00:00+00:00,21.893723203261036,739.95,496.55
2023-08-29 00:00:00+00:00,22.12669502417013,740.07,503.34
2023-08-30 00:00:00+00:00,22.188276130967992,740.22,505.02
2023-08-31 00:00:00+00:00,22.221727799989722,740.48,504.28
2023-09-01 00:00:00+00:00,22.20862227041766,741.19,505.18
2023-09-05 00:00:00+00:00,22.21826083848601,741.98,502.96
2023-09-06 00:00:00+00:00,22.120327514168284,742.17,499.4
2023-09-07 00:00:00+00:00,22.039852165525108,742.4,497.79
2023-09-08 00:00:00+00:00,22.05078119485766,743.01,498.23
2023-09-11 00:00:00+00:00,22.17615819142281,743.91,501.38
2023-09-12 00:00:00+00:00,22.05775728100108,743.91,498.49
2023-09-13 00:00:00+00:00,22.095135571255625,744.56,499.09
2023-09-14 00:00:00+00:00,22.18440310818298,744.85,503.41
2023-09-15 00:00:00+00:00,21.98827250963695,744.77,497.31
2023-09-18 00:00:00+00:00,22.060956529041786,745.4,497.68
2023-09-19 00:00:00+00:00,22.19395686748327,745.52,496.51
2023-09-20 00:00:00+00:00,22.00145138333966,745.51,493.22
2023-09-21 00:00:00+00:00,21.59615439923629,744.62,488.94
2023-09-22 00:00:00+00:00,21.603306160685246,744.38,487.38
2023-09-25 00:00:00+00:00,21.55794118919857,746.07,489.11
2023-09-26 00:00:00+00:00,21.364731448136574,745.55,489.33
2023-09-27 00:00:00+00:00,21.43283073839288,746.45,484.78
2023-09-28 00:00:00+00:00,21.74734378870894,747.07,484.16
2023-09-29 00:00:00+00:00,21.744527184408422,747.4,483.73
2023-10-02 00:00:00+00:00,22.013341967221297,748.72,483.5
2023-10-03 00:00:00+00:00,21.7792687396034,748.22,484.58
2023-10-04 00:00:00+00:00,22.052753782855294,749.35,482.12
2023-10-05 00:00:00+00:00,21.88668351646454,749.76,480.22
2023-10-06 00:00:00+00:00,22.25183476680093,749.49,484.62
2023-10-09 00:00:00+00:00,22.18868161982158,749.57,485.84
2023-10-10 00:00:00+00:00,22.187084089749906,749.44,486.33
2023-10-11 00:00:00+00:00,22.094913315297326,749.91,487.31
2023-10-12 00:00:00+00:00,22.022952735120683,751.2,484.74
2023-10-13 00:00:00+00:00,21.972199516814683,751.15,491.14
2023-10-16 00:00:00+00:00,22.653899009063892,751.81,486.31
2023-10-17 00:00:00+00:00,22.593828841902987,752.12,486.06
2023-10-18 00:00:00+00:00,22.460060077341026,752.81,481.37
2023-10-19 00:00:00+00:00,22.53403764867609,753.0,479.3
2023-10-20 00:00:00+00:00,22.76198935386989,753.39,473.46
2023-10-23 00:00:00+00:00,23.942513667540894,754.25,470.75
2023-10-24 00:00:00+00:00,24.278396840233924,754.53,471.9
2023-10-25 00:00:00+00:00,24.27934353218274,754.65,466.79
2023-10-26 00:00:00+00:00,24.01848213272525,754.72,461.31
2023-10-27 00:00:00+00:00,23.97784571716653,754.98,459.65
2023-10-30 00:00:00+00:00,24.24774586775656,755.43,462.36
2023-10-31 00:00:00+00:00,24.337547607469688,755.71,463.81
2023-11-01 00:00:00+00:00,24.71351523597596,755.39,468.17
