symbol,alpha_name,direction,horizon_bars,sample_start,sample_end,observations,alpha_mean,alpha_std,forward_return_correlation,pearson_ic,spearman_ic,ic_t_stat,rolling_ic_positive_ratio,rolling_windows_used,low_bucket_return,mid_bucket_return,high_bucket_return,top_minus_bottom_spread,turnover_proxy,cost_adjusted_spread_1x,cost_adjusted_spread_2x,cost_adjusted_spread_3x,regime_trending_ic,regime_trending_observations,regime_mixed_ic,regime_mixed_observations,regime_ranging_ic,regime_ranging_observations
ETHUSDT,A01_ts_momentum_72,trend,6,2020-01-13 00:00:00+00:00,2026-09-09 12:00:00+00:00,14590,0.08602317807336717,0.8678327035374421,0.03619406768627665,0.03619406768627665,0.006416679616787231,4.374414406857826,0.2650442786416568,14341,0.0010378848415137257,0.0008149218951310047,0.004176704288212902,0.0031388194466991765,0.09214931212458755,0.0014801318284566006,-0.00017855578978597528,-0.0018372434080285512,0.08834071759933003,4867,0.02885738845664821,4859,-0.01681875416532908,4864
ETHUSDT,A01_ts_momentum_120,trend,1,2020-01-21 00:00:00+00:00,2026-09-10 08:00:00+00:00,14547,0.06516278257231209,0.8910194640306403,0.014255444543884372,0.014255444543884372,0.007242170906848457,1.7194191540472046,0.2517135263673241,14298,0.0001452336316935502,1.2749686580915264e-05,0.0008059542249570998,0.0006607205932635497,0.07774870783019185,0.00042747446977297416,0.0001942283462823986,-3.901777720817696e-05,0.019891936095902972,4847,0.026990252597206527,4845,-0.006799079408729001,4855
ETHUSDT,A01_ts_momentum_120,trend,3,2020-01-21 00:00:00+00:00,2026-09-10 00:00:00+00:00,14545,0.06516278257231209,0.8910194640306403,0.024294896453524183,0.024294896453524183,0.009904582384956248,2.930692559517093,0.2507694459988808,14296,0.0003198817945408092,7.3494490172493e-05,0.0024847481177611083,0.002164866323220299,0.07774870783019185,0.0014651279527485724,0.0007653895822768459,6.565121180511935e-05,0.0523509816643198,4847,0.03360629844314004,4843,-0.02031137052379747,4855
ETHUSDT,A01_ts_momentum_120,trend,6,2020-01-21 00:00:00+00:00,2026-09-09 12:00:00+00:00,14542,0.06516278257231209,0.8910194640306403,0.03188181154645216,0.03188181154645216,0.013325056270173264,3.8463254201361177,0.2469040789197509,14293,0.0008152665195688688,0.00033287542368209505,0.004694116675784571,0.003878850156215702,0.07774870783019185,0.002479373415272249,0.0010798966743287954,-0.00031958006661465766,0.08807684640066824,4847,0.011631221895492441,4842,-0.008523246644344383,4853
ETHUSDT,A16_momentum_ensemble,trend,1,2020-01-09 00:00:00+00:00,2026-09-10 08:00:00+00:00,14619,0.0690626631285168,0.6207896081155336,0.021587880455721024,0.021587880455721024,-0.0007597654919684045,2.610600098688353,0.3186499652052888,14370,6.774816019843667e-05,5.9393064378305115e-05,0.0008720912884744842,0.0008043431282760475,0.10160763522184177,0.0004995202226105221,0.0001946973169449968,-0.00011012558872052847,0.030992148924974042,4869,0.025134393723318254,4871,-0.002553931892398727,4879
ETHUSDT,A16_momentum_ensemble,trend,3,2020-01-09 00:00:00+00:00,2026-09-10 00:00:00+00:00,14617,0.0690626631285168,0.6207896081155336,0.031781671849320896,0.031781671849320896,0.00176097563167507,3.8441081253177196,0.29203786191536746,14368,0.0005095172168018242,0.00014894934756847004,0.0023252391726652525,0.0018157219558634283,0.10160763522184177,0.0009012532388668524,-1.3215478129723545e-05,-0.0009276841951262997,0.06105869727021034,4869,0.03646825594224593,4869,-0.031055264169833462,4879
ETHUSDT,A16_momentum_ensemble,trend,6,2020-01-09 00:00:00+00:00,2026-09-09 12:00:00+00:00,14614,0.0690626631285168,0.6207896081155336,0.03636571356695472,0.03636571356695472,0.0028151446986086773,4.398800899405976,0.272676644622346,14365,0.0011483987408858521,0.0009477384145505982,0.003964866238886388,0.0028164674980005362,0.10160763522184177,0.0009875300640073844,-0.0008414073699857675,-0.0026703448039789197,0.08693205362008066,4869,0.01817074359907684,4868,-0.02778683055670067,4877
ETHUSDT,A02_ema_distance_20,trend,1,2020-01-04 04:00:00+00:00,2026-09-10 08:00:00+00:00,14648,0.03480089272203292,0.37497132164576047,0.020792665458480047,0.020792665458480047,-0.01975784825993205,2.516886212068997,0.45940690325717065,14399,-0.00010909164224103729,0.0005986977422493419,0.0005173338754782371,0.0006264255177192745,0.11780963600879618,0.0002729966096928859,-8.043229833350261e-05,-0.0004338612063598912,0.028817898219618283,4883,0.008561478031743387,4882,0.016010047541736572,4882
ETHUSDT,A02_ema_distance_20,trend,3,2020-01-04 04:00:00+00:00,2026-09-10 00:00:00+00:00,14646,0.03480089272203292,0.37497132164576047,0.0340938205945274,0.0340938205945274,-0.004842966228193397,4.128174890306183,0.4735708828228103,14397,0.00013938286308671444,0.0011829382246338687,0.0016821976624160184,0.001542814799329304,0.11780963600879618,0.00048252807525013823,-0.0005777586488290274,-0.0016380453729081931,0.0513467782427541,4883,0.01986551153779193,4880,0.007972240212204223,4882
ETHUSDT,A02_ema_distance_20,trend,6,2020-01-04 04:00:00+00:00,2026-09-09 12:00:00+00:00,14643,0.03480089272203292,0.37497132164576047,0.03159406703054671,0.03159406703054671,-0.005591386812958429,3.8247915121937277,0.417326663887731,14394,0.0010876134556687216,0.001871518158584527,0.00313147719289968,0.0020438637372309585,0.11780963600879618,-7.670971092737285e-05,-0.002197283159085704,-0.0043178566072440356,0.062450425474118124,4883,0.0048765016482193585,4879,-0.005002119209860497,4880
