symbol,variant,trend_weight,pullback_weight,range_weight,use_regime_filter,ema_window,ema_slope_window,breakout_entry_window,breakout_exit_window,atr_window,trend_stop_atr_multiple,trend_trailing_atr_multiple,rsi_window,pullback_entry_rsi,pullback_exit_rsi,bollinger_window,bollinger_std_multiple,pullback_stop_atr_multiple,adx_window,trend_adx_threshold,range_adx_threshold,range_ema_window,range_ema_slope_window,range_max_slope_atr,range_max_distance_atr,range_entry_rsi,range_exit_rsi,range_stop_atr_multiple,initial_capital,final_value,profit,total_return,annualized_return,max_drawdown,sharpe_ratio,total_fees,trade_count,win_rate,profit_factor,average_trade,elapsed_days
BTCUSDT,trailing_plus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,2.5,4.319999999999999,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6694.885495902333,1694.8854959023329,0.3389770991804666,0.045351922108404885,-0.04929116377022902,1.1107515731681026,217.13619282357885,127,0.36220472440944884,1.9750209143390904,13.345555085845117,2403.8333333333335
ETHUSDT,base,1.0,0.0,0.0,False,200,10,20,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6672.138553095988,1672.1385530959878,0.3344277106191975,0.04481147297480481,-0.06394824382950304,1.0207678516124634,189.43988522114424,145,0.3310344827586207,1.7942579026924013,11.531990021351737,2403.8333333333335
ETHUSDT,ema_minus_20pct,1.0,0.0,0.0,False,160,10,20,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6919.786497597313,1919.7864975973134,0.38395729951946267,0.0506132180298533,-0.05402007603338699,1.1316829862900755,194.87036816140684,146,0.3150684931506849,1.9037463913759591,13.149222586282898,2403.8333333333335
ETHUSDT,ema_plus_20pct,1.0,0.0,0.0,False,240,10,20,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6380.5746617359155,1380.5746617359155,0.276114932347183,0.037742024083687875,-0.06374125167559741,0.8718220248706439,185.4320034757359,149,0.2953020134228188,1.6354141529510926,9.265601756616931,2403.8333333333335
ETHUSDT,entry_minus_20pct,1.0,0.0,0.0,False,200,10,16,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6713.085091735275,1713.0850917352745,0.34261701834705494,0.045783209662182855,-0.05976898513922957,1.0273837360501556,199.90258250917026,154,0.34415584415584416,1.7972260909635571,11.123929167112152,2403.8333333333335
ETHUSDT,entry_plus_20pct,1.0,0.0,0.0,False,200,10,24,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6693.527321607687,1693.5273216076866,0.33870546432153725,0.04531969672387537,-0.0624412661333581,1.064827720335585,174.1046486921495,134,0.3582089552238806,1.9028212312911335,12.638263594087201,2403.8333333333335
ETHUSDT,exit_minus_20pct,1.0,0.0,0.0,False,200,10,20,8,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6537.021956192639,1537.0219561926388,0.3074043912385278,0.041568617601025926,-0.06394824382950237,0.9867775305785303,194.36146549161222,150,0.36,1.7598977714884283,10.246813041284238,2403.8333333333335
ETHUSDT,exit_plus_20pct,1.0,0.0,0.0,False,200,10,20,12,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6566.0539633465605,1566.0539633465605,0.3132107926693122,0.04227016090899394,-0.06736938020777472,0.9532544093520972,183.19266423730633,140,0.3142857142857143,1.7382280955131069,11.18609973818971,2403.8333333333335
ETHUSDT,stop_minus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,2.0,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,7075.964997449961,2075.9649974499607,0.4151929994899921,0.054182150961449294,-0.07562584933948058,1.040239706767616,252.76789719650998,150,0.31333333333333335,1.8077701153640378,13.839766649666396,2403.8333333333335
ETHUSDT,stop_plus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,3.0,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6547.377067110849,1547.3770671108487,0.3094754134221698,0.04181914604693482,-0.04309672429524314,1.1093479824370809,147.44932952225446,139,0.35251798561151076,1.9581555672937025,11.132209115905301,2403.8333333333335
