regime,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,family
2010,252,10000.0,10747.029861740944,0.07470298617409443,0.07561490081768896,0.07561129826878457,1.4190611441740588,1.9893643327477606,1.463899357773557,-0.05165307329097513,-0.019911556499065584,142.0,1.2192472367203793,0.5476190476190477,,,,,,,0.07470298617409443,0.07470298617409443,0.6363636363636364,361.0,1.0,1,,calendar_year
2011,252,10000.0,10051.741558202268,0.0051741558202267335,0.005235229572041256,0.06852858323084206,0.14341414189206872,0.2326395175993577,0.12263902496365858,-0.042688121285965885,-0.017191634972939664,163.0,1.0195486247297063,0.5277777777777778,,,,,,,0.0051741558202267335,0.0051741558202267335,0.6363636363636364,361.0,1.0,1,,calendar_year
2012,250,10000.0,9729.45174165038,-0.027054825834961882,-0.027220217755908438,0.03844073480836983,-1.0231438517111329,-1.6139825197431727,-0.48060656108654565,-0.05663721630093754,-0.029820253000381026,224.0,0.874843455633716,0.456,,,,,,,-0.027054825834961882,-0.027054825834961882,0.36363636363636365,363.0,0.0,1,,calendar_year
2013,252,10000.0,9611.172687095113,-0.03888273129048858,-0.0391189634437662,0.05932974836217714,-0.9391033664502098,-1.474409760133025,-0.41195628690048425,-0.09495901552587815,-0.05821664643616862,237.0,0.88210881963191,0.4801587301587302,,,,,,,-0.03888273129048858,-0.03888273129048858,0.36363636363636365,363.0,0.0,1,,calendar_year
2014,252,10000.0,9523.259316605927,-0.04767406833940735,-0.047962366578686355,0.045328279125284865,-1.5391229831061226,-2.2698484491378643,-0.7869198205364353,-0.06094949615831369,-0.031685473725959916,236.0,0.8090823034331224,0.4523809523809524,,,,,,,-0.04767406833940735,-0.04767406833940735,0.36363636363636365,363.0,0.0,1,,calendar_year
2015,252,10000.0,10067.607678391616,0.0067607678391616854,0.006802815641796078,0.06371382012622473,0.18512299029629292,0.3191539359069377,0.14600262112632081,-0.04659379118892881,-0.018400314092665706,104.0,1.0247850008511878,0.49206349206349204,,,,,,,0.0067607678391616854,0.0067607678391616854,0.45454545454545453,363.0,1.0,1,,calendar_year
2016,252,10000.0,9869.203162399384,-0.013079683760061522,-0.013232645643384111,0.07613877420152591,-0.2127505018909829,-0.3886939424914119,-0.16302293213876917,-0.08117045540636059,-0.03505821219862835,185.0,0.9693550996835107,0.4801587301587302,,,,,,,-0.013079683760061522,-0.013079683760061522,0.2727272727272727,361.0,0.0,1,,calendar_year
2017,251,10000.0,9445.613033337195,-0.05543869666628054,-0.05622401443775771,0.05915164699510455,-1.3733122020692072,-1.7889568701554703,-0.6889557812766798,-0.08160758058168982,-0.040852200801695784,243.0,0.8276968610309828,0.5059760956175299,,,,,,,-0.05543869666628054,-0.05543869666628054,0.2727272727272727,360.0,0.0,1,,calendar_year
2018,251,10000.0,9831.775895474504,-0.01682241045254962,-0.016925794150055684,0.04953517898432022,-0.4735966429194569,-0.7234618913006453,-0.32044134029061433,-0.052820257631881584,-0.018178039719424693,192.0,0.9386680850590148,0.5219123505976095,,,,,,,-0.01682241045254962,-0.01682241045254962,0.36363636363636365,363.0,0.0,1,,calendar_year
2019,252,10000.0,9944.661414730257,-0.0055338585269743,-0.00556806363132889,0.04433364659848997,-0.15923761278395063,-0.21976184752334993,-0.17093286116621736,-0.03257456520261737,-0.011527329339906498,103.0,0.9781800563645164,0.5198412698412699,,,,,,,-0.0055338585269743,-0.0055338585269743,0.5454545454545454,363.0,0.0,1,,calendar_year
2020,253,10000.0,9869.201804007185,-0.013079819599281506,-0.013124440511381064,0.05390211837028074,-0.32566959294674597,-0.4854513943479528,-0.1631685718908324,-0.08043485555638707,-0.048891542885976094,199.0,0.9552610673774538,0.49407114624505927,,,,,,,-0.013079819599281506,-0.013079819599281506,0.45454545454545453,364.0,0.0,1,,calendar_year
2021,252,10000.0,9600.218840749434,-0.03997811592505662,-0.040439125770042494,0.03883223303679727,-1.5032747517318845,-2.238834973881896,-0.8324436527808978,-0.04857881447585044,-0.031624511627707144,245.0,0.815182939683267,0.48412698412698413,,,,,,,-0.03997811592505662,-0.03997811592505662,0.2727272727272727,361.0,0.0,1,,calendar_year
2022,251,10000.0,9902.518355286082,-0.009748164471391818,-0.009862360401223569,0.054800212644948144,-0.23270741572514245,-0.32012233263034967,-0.14365664664208797,-0.06865230834599012,-0.018620756261246707,72.0,0.9675485017625374,0.5378486055776892,,,,,,,-0.009748164471391818,-0.009748164471391818,0.45454545454545453,361.0,0.0,1,,calendar_year
2023,250,10000.0,9652.981161457845,-0.034701883854215576,-0.03519894083008557,0.04459163050942038,-1.1347833828903668,-1.7305541774459319,-0.7751356778794086,-0.04541003831275281,-0.027579632023932054,247.0,0.8595529962700404,0.468,,,,,,,-0.034701883854215576,-0.034701883854215576,0.45454545454545453,360.0,0.0,1,,calendar_year
2024,252,10000.0,10316.947221552506,0.0316947221552506,0.031805276759126366,0.03395358117794249,1.3490413683335103,2.114673355333831,2.0159279843261007,-0.015776990550462777,-0.005533936269947581,89.0,1.1953840931073727,0.5357142857142857,,,,,,,0.0316947221552506,0.0316947221552506,0.36363636363636365,364.0,1.0,1,,calendar_year
2025,250,10000.0,9972.387661721245,-0.002761233827875631,-0.0027783251159678723,0.03897575509762972,-0.08416197335809213,-0.13305423433431973,-0.10115670554407787,-0.027465555555852394,-0.011774787745933225,151.0,0.9884634495768316,0.52,,,,,,,-0.002761233827875631,-0.002761233827875631,0.5454545454545454,363.0,0.0,1,,calendar_year
2026,174,10000.0,10085.769998653845,0.008576999865384405,0.012457538381676514,0.038719748731813004,0.4823814598711731,0.7469812747097972,0.6335107958606639,-0.019664287432942906,-0.006268479133788297,73.0,1.066530391716356,0.5229885057471264,,,,,,,0.008576999865384405,0.008576999865384405,0.625,251.95833333333334,0.0,0,,calendar_year
