symbol,alpha_name,regime,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
BTCUSDT,A12_close_location_value_10,mixed,trend,False,0.0022166551955857,0.5,inf,inf,0.4136576704474686,-1.1201786472229918,4717,472,True,False,False,False,True,True,True
BTCUSDT,A13_intraday_range_position_10,mixed,trend,False,0.0022166551955856498,0.5,inf,inf,0.41365767044746876,-1.1201786472229918,4717,472,True,False,False,False,True,True,True
BTCUSDT,A14_gap_proxy,mixed,trend,False,-0.01702689277334292,0.16666666666666666,1.0,0.9851617065618682,0.3198579547396431,0.005936620414403996,4717,472,False,False,False,False,True,True,True
BTCUSDT,A20_market_breadth_24,mixed,regime,False,-0.007373838995111675,0.5,1.0,inf,0.3661973942174115,-4.502187880463871,4717,472,False,False,False,False,True,True,True
BTCUSDT,A23_cross_sectional_relative_strength_24,mixed,relative_value,False,0.005602475721244705,0.6666666666666666,inf,inf,0.3759812137653212,-2.552354400938214,4717,472,True,True,False,False,True,True,True
BTCUSDT,A21_funding_rate_crowding_90,mixed,mean_reversion,False,0.041091571925330014,0.8333333333333334,1.0,inf,0.35836782951703,-2.285646254355719,4717,472,True,True,False,False,True,True,True
BTCUSDT,A22_funding_rate_trend_21,mixed,trend,False,-0.013140642574129707,0.3333333333333333,1.0,inf,0.24293903375055467,-2.3533092953863552,4717,472,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_12,ranging,trend,False,-0.022146042048962665,0.3333333333333333,inf,inf,0.35053818316960605,-2.8138164052655785,4865,487,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_24,ranging,trend,False,-0.04204869777341082,0.16666666666666666,inf,inf,0.3689433315556561,-3.475482965047277,4865,487,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_48,ranging,trend,False,-0.008403419141558073,0.3333333333333333,inf,inf,0.2591435087780709,-3.2463441724798727,4865,487,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_72,ranging,trend,False,-0.014546142917053938,0.16666666666666666,1.0,inf,0.2570307215140887,-3.4442066924589474,4865,487,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_120,ranging,trend,False,-0.00974122526122238,0.3333333333333333,1.0,inf,0.23432193947947438,-3.725768810923938,4865,487,False,False,False,False,True,True,True
BTCUSDT,A16_momentum_ensemble,ranging,trend,False,-0.012651004578921498,0.0,inf,inf,0.2881457771462899,-2.3584659025858947,4865,487,False,False,False,False,True,True,True
BTCUSDT,A02_ema_distance_20,ranging,trend,False,-0.039815483414487235,0.16666666666666666,inf,inf,0.37895102056517,-1.3115456975133242,4865,487,False,False,False,False,True,True,True
BTCUSDT,A02_ema_distance_50,ranging,trend,False,-0.020527012233179535,0.0,inf,inf,0.3061029371069623,-1.8204074162364403,4865,487,False,False,False,False,True,True,True
BTCUSDT,A02_ema_distance_100,ranging,trend,False,-0.011881692046179733,0.3333333333333333,1.0,inf,0.25230216092391433,-2.319995697409067,4865,487,False,False,False,False,True,True,True
BTCUSDT,A03_donchian_breakout_20,ranging,trend,False,-0.04122153903334844,0.16666666666666666,0.8775059598807058,inf,0.6164776450585103,-0.04958113036901186,4865,487,False,False,False,False,True,True,True
BTCUSDT,A08_trend_quality,ranging,trend,False,-0.021473884712746458,0.3333333333333333,1.0,inf,0.3451828368233705,-0.10589318775515402,4865,487,False,False,False,False,True,True,True
BTCUSDT,A09_efficiency_ratio_20,ranging,trend,False,-0.014900053868849916,0.3333333333333333,inf,inf,0.4865821267259378,-0.6308706571777171,4865,487,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_1,ranging,mean_reversion,False,-0.00138075915523066,0.3333333333333333,inf,inf,0.6088592508441242,-2.8766758702353608,4865,487,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_2,ranging,mean_reversion,False,0.022146295610568693,1.0,inf,inf,0.4696808436721736,-2.366140339325246,4865,487,True,True,False,False,True,True,True
BTCUSDT,A04_short_reversion_3,ranging,mean_reversion,False,0.0050957603375818795,0.5,inf,inf,0.4177787155783215,-2.1846733773198244,4865,487,True,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_6,ranging,mean_reversion,False,0.023538293091894837,0.8333333333333334,inf,inf,0.3544360592220701,-1.6271510923047805,4865,487,True,True,False,False,True,True,True
BTCUSDT,A05_bollinger_reversion_20,ranging,mean_reversion,False,0.037169602636499946,0.6666666666666666,inf,inf,0.38350985220468436,-2.4753311089507974,4865,487,True,True,False,False,True,True,True
BTCUSDT,A06_rsi_reversion_14,ranging,mean_reversion,False,0.036130479365165766,1.0,inf,inf,0.3836099818408789,-1.5441054677311699,4865,487,True,True,False,False,True,True,True
BTCUSDT,A17_mean_reversion_ensemble,ranging,mean_reversion,False,0.031097128844495295,0.8333333333333334,inf,inf,0.4365559652532067,-1.7263689808860465,4865,487,True,True,False,False,True,True,True
BTCUSDT,A07_volatility_compression,ranging,regime,False,-0.012377492530902413,0.16666666666666666,inf,inf,0.2766871975572082,-1.6029562961776163,4865,487,False,False,False,False,True,True,True
BTCUSDT,A07_atr_percentile,ranging,regime,False,0.0439655345107471,1.0,1.0,1.0,0.19058626661568703,-0.7930090287937962,4865,487,True,True,False,False,True,True,True
BTCUSDT,A15_volatility_adjusted_breakout_20,ranging,trend,False,-0.030880510095498716,0.16666666666666666,0.9474967026743834,inf,0.5997895175247745,-0.02727237325035601,4865,487,False,False,False,False,True,True,True
BTCUSDT,A10_volume_surprise_48,ranging,trend,False,0.03204304510523693,0.6666666666666666,inf,inf,0.6056897577469786,-1.951204649641066,4865,487,True,True,False,False,True,True,True
