,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A04_short_reversion_3,-0.40498852311945177,-0.24345595138050932,-0.12446538201384996,-0.033890497040262646,0.006626413123504527,-0.17237888001652504,-0.5491602273137364,-0.3053003374785793,-0.1569760950922309,-0.4357333765633746,-0.046019824706409584,-0.2872366634498454,0.5160096089564497,0.7791300623928811,1.0,0.6791743366913602,0.5921512158422604,0.45903853420793767,0.8117138659206946,0.03572648679413833,0.04250355660251394,-0.43554099900470866,-0.17305289898667625,-0.5175272795204442,-0.3676891969319839,-0.3676891969319839,-0.05123362669386996,-0.1926715679595045,-0.11470695530666296,-0.008875202284792466,0.07404811102513086
A04_short_reversion_6,-0.5980072993119926,-0.3646518223463098,-0.19543791730380677,-0.06805484964902989,-0.0065599899355370025,-0.2678775706446112,-0.7037299371421016,-0.42624396608914933,-0.23089197387010896,-0.42388970086708144,-0.12646315716032477,-0.4331736500133177,0.35674433939424754,0.540352898109129,0.6791743366913602,1.0,0.7509987117961779,0.6107518359496934,0.8300439245488443,0.053802683695046274,0.04421400829552402,-0.42404983714739725,-0.1659316033448662,-0.7273777673247233,-0.49129453468550377,-0.49129453468550377,-0.033818760294797995,-0.28928410338356153,-0.16953627918451658,0.13227175508180458,0.08762557638736193
A05_bollinger_reversion_20,-0.8882576321072352,-0.6973009617031825,-0.49511388840811094,-0.3680327607490989,-0.31165968878342853,-0.6433010558087763,-0.9561425976652621,-0.7777146985738536,-0.5908021446263679,-0.4926383970414957,-0.477049292495192,-0.7874538442387338,0.3480646001668457,0.4950485834258544,0.5921512158422604,0.7509987117961779,1.0,0.9132043263014143,0.898190321578009,0.09056123496218517,-0.11419625345937466,-0.49337331416022673,-0.14572384431838173,-0.5889744940903378,-0.5747643655768075,-0.5747643655768075,-0.0417176978321355,-0.5591207291570883,-0.2981131252749834,0.23609425472514875,-0.07305400908500949
A06_rsi_reversion_14,-0.8599874430294884,-0.870535932481597,-0.7327478157372512,-0.5843476991463888,-0.4698869479659533,-0.8343692772949968,-0.9833492766930849,-0.9484323616388701,-0.7963781861973261,-0.4491357805261057,-0.6555419666255732,-0.8857714846410739,0.2613500499346487,0.37741662938534,0.45903853420793767,0.6107518359496934,0.9132043263014143,1.0,0.8120311465630546,0.07284497029010842,-0.19644491052501764,-0.4498184657073385,-0.12644086429093393,-0.5092927243202616,-0.5240508874113547,-0.5240508874113547,-0.0338976162339789,-0.6950144769587359,-0.35629064422495627,0.30065111534699673,-0.1986909177694317
A17_mean_reversion_ensemble,-0.7357870598238014,-0.5721769366092572,-0.3979575280665077,-0.26364487812482884,-0.1923792190946673,-0.4978654711334662,-0.8801682262317416,-0.6531204452215967,-0.4616038121996842,-0.495682410755719,-0.32649644990616244,-0.6332857821376562,0.5924151891204997,0.7535538664860455,0.8117138659206946,0.8300439245488443,0.898190321578009,0.8120311465630546,1.0,0.07400778731287395,-0.056453810045692374,-0.4971209969990536,-0.15061505922406196,-0.6413341715958172,-0.5387316788402712,-0.5387316788402712,-0.04537361505421526,-0.4530892166287451,-0.2529404636805642,0.15242563131539644,-0.019006917526810715
A07_volatility_compression,-0.07432056796946047,-0.07987479279333298,-0.01668568142727772,-0.001727906617045321,0.003182385697085171,-0.026312439923692598,-0.07545484832726705,-0.049665954630148515,-0.03138069522249344,-0.041576788029055914,-0.18878562430833978,-0.08987463513876785,0.013362935684153957,0.02786553238850675,0.03572648679413833,0.053802683695046274,0.09056123496218517,0.07284497029010842,0.07400778731287395,1.0,-0.49910792511177215,-0.04108470046321075,-0.0013943867698193826,-0.04233026929166015,-0.022008674184099724,-0.022008674184099724,-0.014816981814016994,0.04785334567544597,-0.22696418429772697,-0.06041966293014968,0.031053977150581426
A07_atr_percentile,0.11482207200338852,0.20051825018432257,0.3014460079799902,0.3718227312557969,0.4509515097927691,0.35363995973516316,0.160686380813459,0.2851931079925937,0.4063781314381932,0.05444515461327136,0.4000374912702674,0.16702908637113567,0.032193317090824076,0.03831868469810245,0.04250355660251394,0.04421400829552402,-0.11419625345937466,-0.19644491052501764,-0.056453810045692374,-0.49910792511177215,1.0,0.053937068566640003,0.003949950750016484,0.06417614257320686,0.05639875694862174,0.05639875694862174,0.011453690160761889,0.06152973331602063,0.22402013209760224,0.04790073362234937,0.22131543678299737
A15_volatility_adjusted_breakout_20,0.41998193832398106,0.3561104714740394,0.2565044621725152,0.1971809390914385,0.16975095229905446,0.32535666429826593,0.47482044200620854,0.3997507744137301,0.31308608423234513,0.9998452476961411,0.22287223982647927,0.3928269340354785,-0.4340151760244271,-0.44431077258634216,-0.43554099900470866,-0.42404983714739725,-0.49337331416022673,-0.4498184657073385,-0.4971209969990536,-0.04108470046321075,0.053937068566640003,1.0,0.3038514353514059,0.3888040435930725,0.3178808674681262,0.3178808674681262,0.025286951801341086,0.2832479132099639,0.1552875525486932,-0.0803559228790839,0.05087884690426497
A10_volume_surprise_48,0.12525159641488154,0.09768165749084652,0.06973893794515508,0.05436578493755984,0.051117131130531124,0.08789482902484802,0.13917895399443364,0.10988626809902483,0.0856900771724275,0.30445326535947065,0.05401633440762603,0.10240231234209435,-0.09061190037398853,-0.15151800614197444,-0.17305289898667625,-0.1659316033448662,-0.14572384431838173,-0.12644086429093393,-0.15061505922406196,-0.0013943867698193826,0.003949950750016484,0.3038514353514059,1.0,0.16816627065928735,0.046960334282607076,0.046960334282607076,0.029814999183685412,0.07770887586707158,0.032020963173220264,-0.02102040319463174,0.011664937417691135
A11_signed_volume_pressure_6,0.4534469408484952,0.31327614907907564,0.2376047893310239,0.18385907621838737,0.15952483317525507,0.3107963624495795,0.5717278200477591,0.41319688913882374,0.3068568617052409,0.38804623133786414,0.18085302856353005,0.3450792447112608,-0.29896361303407504,-0.42288095044433605,-0.5175272795204442,-0.7273777673247233,-0.5889744940903378,-0.5092927243202616,-0.6413341715958172,-0.04233026929166015,0.06417614257320686,0.3888040435930725,0.16816627065928735,1.0,0.6445290604289098,0.6445290604289098,0.019639719576585214,0.23907370198420722,0.14659142517166557,-0.1031766100522244,0.04876478625978907
A12_close_location_value_10,0.5524285055459726,0.3548154244133936,0.2830900481858423,0.22407128827757614,0.1767242227761533,0.36971150858442875,0.5634848626377279,0.4440154474657557,0.3396409367611652,0.31651694606329656,0.246358104752252,0.39513216289134795,-0.23661156189029756,-0.31241530464993206,-0.3676891969319839,-0.49129453468550377,-0.5747643655768075,-0.5240508874113547,-0.5387316788402712,-0.022008674184099724,0.05639875694862174,0.3178808674681262,0.046960334282607076,0.6445290604289098,1.0,1.0,0.014521536605078107,0.26406933663863386,0.18421321952782038,-0.1358052520743638,0.048489538675042756
A13_intraday_range_position_10,0.5524285055459726,0.3548154244133936,0.2830900481858423,0.22407128827757614,0.1767242227761533,0.36971150858442875,0.5634848626377279,0.4440154474657557,0.3396409367611652,0.31651694606329656,0.246358104752252,0.39513216289134795,-0.23661156189029756,-0.31241530464993206,-0.3676891969319839,-0.49129453468550377,-0.5747643655768075,-0.5240508874113547,-0.5387316788402712,-0.022008674184099724,0.05639875694862174,0.3178808674681262,0.046960334282607076,0.6445290604289098,1.0,1.0,0.014521536605078107,0.26406933663863386,0.18421321952782038,-0.1358052520743638,0.048489538675042756
A14_gap_proxy,0.029371744537194957,0.01588073500062696,0.011266673161469697,0.013078400930899237,0.005700694870614101,0.01651588838627324,0.03854610176572168,0.027895414818855137,0.020486816718057403,0.024886566252184297,0.020208363853980713,0.02038163150838442,-0.014227692459438834,-0.04674341736517297,-0.05123362669386996,-0.033818760294797995,-0.0417176978321355,-0.0338976162339789,-0.04537361505421526,-0.014816981814016994,0.011453690160761889,0.025286951801341086,0.029814999183685412,0.019639719576585214,0.014521536605078107,0.014521536605078107,1.0,0.005725138152552078,0.008871975292187731,0.0007465731693326623,-0.018733579501264797
A20_market_breadth_24,0.5463287501039227,0.8004162535807537,0.5429101702580407,0.4253594831944632,0.33514899872749504,0.6414295967593918,0.6528686465553121,0.6960236843195872,0.5872422337480832,0.28139723454722143,0.5132490474033868,0.7101114477428705,-0.0959271505984447,-0.14996908196442327,-0.1926715679595045,-0.28928410338356153,-0.5591207291570883,-0.6950144769587359,-0.4530892166287451,0.04785334567544597,0.06152973331602063,0.2832479132099639,0.07770887586707158,0.23907370198420722,0.26406933663863386,0.26406933663863386,0.005725138152552078,1.0,-0.048975112114591955,-0.28173347844984786,0.1735781234985048
A23_cross_sectional_relative_strength_24,0.2924661730534329,0.4107996476901937,0.28101394582766936,0.20942814753254685,0.16877565644971118,0.31707765884669015,0.3381208913673866,0.34236075783069486,0.2795849264090215,0.15547637704882944,0.31442741864511886,0.3713839616441564,-0.06713756002783303,-0.09589437069152554,-0.11470695530666296,-0.16953627918451658,-0.2981131252749834,-0.35629064422495627,-0.2529404636805642,-0.22696418429772697,0.22402013209760224,0.1552875525486932,0.032020963173220264,0.14659142517166557,0.18421321952782038,0.18421321952782038,0.008871975292187731,-0.048975112114591955,1.0,-0.010381465955567023,0.021908541729821207
A21_funding_rate_crowding_90,-0.25199578837750836,-0.29320111276097416,-0.2915283646842135,-0.21785931276997325,-0.11642704598460116,-0.27977912622856066,-0.27533182705844206,-0.3096701177281088,-0.24640246872805627,-0.08036809597288971,-0.2139025322651111,-0.29036581040108733,-0.018738909310663954,-0.0344185381033928,-0.008875202284792466,0.13227175508180458,0.23609425472514875,0.30065111534699673,0.15242563131539644,-0.06041966293014968,0.04790073362234937,-0.0803559228790839,-0.02102040319463174,-0.1031766100522244,-0.1358052520743638,-0.1358052520743638,0.0007465731693326623,-0.28173347844984786,-0.010381465955567023,1.0,-0.11975133541023236
A22_funding_rate_trend_21,0.08900930890994016,0.21023405027564943,0.3434556211176141,0.41697136996233675,0.476948719599573,0.3754310114831779,0.14822236584241355,0.31810697465907456,0.4589199010585445,0.051217164279673814,0.2418749532633118,0.1585938385995339,0.04535979977011452,0.06381187132418513,0.07404811102513086,0.08762557638736193,-0.07305400908500949,-0.1986909177694317,-0.019006917526810715,0.031053977150581426,0.22131543678299737,0.05087884690426497,0.011664937417691135,0.04876478625978907,0.048489538675042756,0.048489538675042756,-0.018733579501264797,0.1735781234985048,0.021908541729821207,-0.11975133541023236,1.0
