,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A07_atr_percentile,0.019383686303990542,0.07505241813053408,0.13990591237687042,0.20099102725897589,0.3142665433095315,0.18500591442583572,0.0400349916149465,0.11503475840600942,0.21521397895040328,0.017236794411623606,0.30141521077076083,0.0436823030021445,0.010545333143709984,0.026615913128661333,0.038449319499808655,0.05702968390869047,-0.012697868708239317,-0.056763023029348214,0.00839417360618411,-0.5848799440161714,1.0,0.01588154055806587,-0.021594909754479082,0.022109507869637352,0.03796562491036603,0.03796562487280222,-0.008618191872507857,-0.016598005841130272,0.13929122892902748,0.11532895799205323,0.23714065979980353
A15_volatility_adjusted_breakout_20,0.4092987885841609,0.3453314133180386,0.2512075201182369,0.2056712438410059,0.1557152662616692,0.3182679804270662,0.4623338403425012,0.39392741256541886,0.3153235554382252,0.9998271864790836,0.23673458300922562,0.38259038088043446,-0.4193020851505971,-0.4336844669075812,-0.42863495387388806,-0.4145401795918679,-0.48162363342074027,-0.4393343664586787,-0.4833143559644829,-0.0007929595195010228,0.01588154055806587,1.0,0.2877986922135971,0.37993913449437167,0.31522126601383776,0.31522126601353295,0.008235724603224859,0.2707749007149357,0.13687581808991647,-0.054217057692681155,0.017442045469534866
A10_volume_surprise_48,0.11412072308291843,0.09386816783811734,0.06844312776704811,0.05360671053127161,0.03680986391064413,0.08200658696298199,0.12896052814327277,0.10575972207651513,0.08314258148708296,0.2883467516223881,0.057007512208842946,0.09572897799001841,-0.06477619088597526,-0.1313228196808179,-0.1459694522331931,-0.1535282288213562,-0.13450878835709038,-0.1199751073580865,-0.13014929608838194,0.015840224538177187,-0.021594909754479082,0.2877986922135971,1.0,0.1512712882454446,0.029304601333162764,0.02930454945362533,0.016791734110067152,0.07515791963655859,0.025166033086065836,-0.00564443905391125,-0.004565591176629701
A11_signed_volume_pressure_6,0.4375259421199703,0.3120897128608057,0.2445029943915604,0.20520560391317927,0.16826730295847958,0.3186195323710055,0.5573844572230016,0.41549933833955277,0.3233605982475972,0.3804142062739902,0.19304675646551606,0.3482526675944341,-0.2784355560060952,-0.3945344905675974,-0.4846029864697247,-0.686796882686641,-0.5680913694630743,-0.5018958887558035,-0.6144263978814949,-0.005902633605307527,0.022109507869637352,0.37993913449437167,0.1512712882454446,1.0,0.6548448387345042,0.6548448425392995,0.01084145133392278,0.23313155716207662,0.13867586595611742,-0.0758140791056859,0.030737800861463067
A12_close_location_value_10,0.5322854393108255,0.36522266480273874,0.2799856850963521,0.23656615160863048,0.19801485213113368,0.372999800502726,0.5548310032673942,0.4436379359810039,0.3546547505269674,0.3163897831326683,0.24850642579545235,0.40178936341370064,-0.2319226675621683,-0.29273936082519175,-0.3425879952959512,-0.45802302292285335,-0.5575478102820475,-0.5197637686435808,-0.5211079413421857,-0.004866707333066937,0.03796562491036603,0.31522126601383776,0.029304601333162764,0.6548448387345042,1.0,0.9999999999952401,-0.0017463502102950616,0.26921344506506983,0.1816485381603366,-0.0609360997689333,0.05619459149548971
A13_intraday_range_position_10,0.5322854394885496,0.36522266464523734,0.27998569254164113,0.2365661552717859,0.1980148519353654,0.3729998018803242,0.5548310012889915,0.44363793598632983,0.3546547499591316,0.3163897831323671,0.24850642775321544,0.4017893607569606,-0.23192267168950584,-0.2927393814296544,-0.34258798763051723,-0.45802301520836275,-0.5575478113133672,-0.5197637679606917,-0.5211079405659932,-0.004866707510674756,0.03796562487280222,0.31522126601353295,0.02930454945362533,0.6548448425392995,0.9999999999952401,1.0,-0.0017463268436538747,0.2692134517517365,0.1816485295397986,-0.060936101016725176,0.056194591426248094
A14_gap_proxy,0.0043323138156154285,0.005174996138378406,0.0004538939036928322,0.00012707987738847494,-0.003108872011827721,0.0031644113117823823,0.009796039274224188,0.00592251275941077,0.002694273124206359,0.007467101612294828,-0.006692598278938854,0.009405390975570988,-0.01757304790363236,-0.011009379697778102,-0.016191869525948324,-0.011240051330461055,-0.013420790167467589,-0.00838389787269334,-0.016625177442758574,0.01301060580051442,-0.008618191872507857,0.008235724603224859,0.016791734110067152,0.01084145133392278,-0.0017463502102950616,-0.0017463268436538747,1.0,0.010882328281515277,-0.014698796561275871,-0.01898362963026583,0.008366439680172175
A20_market_breadth_24,0.5384875738974118,0.8129710282577965,0.5446271964847218,0.4069538615511578,0.32212488638150566,0.6398228514348893,0.6552958601784119,0.7023853169168155,0.5899058350771939,0.2714954469620247,0.5358081120132784,0.716061206518813,-0.09362127437825711,-0.13777992979876277,-0.17304372344317176,-0.26996580857128005,-0.5620217891839063,-0.7026816139620592,-0.44864744860303957,0.08427501816640333,-0.016598005841130272,0.2707749007149357,0.07515791963655859,0.23313155716207662,0.26921344506506983,0.2692134517517365,0.010882328281515277,1.0,-0.10548197687732448,-0.22660764821855886,0.1309097803756826
A23_cross_sectional_relative_strength_24,0.2283213036639958,0.32708121980887017,0.20186308157151112,0.16912428506992508,0.09730871841576298,0.2332974668265029,0.26960950468414174,0.2625056182044326,0.21017953434476558,0.13451977312699656,0.2318333529358866,0.2854869034043957,-0.06130032528813427,-0.08591027319081682,-0.10563563091227925,-0.15024492954270455,-0.23188022886050919,-0.2757955803565829,-0.20554339348407658,-0.11776154364872857,0.13929122892902748,0.13687581808991647,0.025166033086065836,0.13867586595611742,0.1816485381603366,0.1816485295397986,-0.014698796561275871,-0.10548197687732448,1.0,0.13237779293135998,-0.029458743083659446
A21_funding_rate_crowding_90,-0.1894165574524037,-0.17757573291948414,-0.11338334073562208,-0.07005101132423036,-0.03210351098525694,-0.13361031651456307,-0.17460086284559495,-0.1561890978643698,-0.10488091892492357,-0.05413942353307141,-0.09075670245618701,-0.17611041076670955,-0.02234156632605302,-0.013924042423863942,0.014880649567134207,0.13802670614313967,0.17424219463713164,0.17828167839267456,0.11117413118220991,-0.07411735665460889,0.11532895799205323,-0.054217057692681155,-0.00564443905391125,-0.0758140791056859,-0.0609360997689333,-0.060936101016725176,-0.01898362963026583,-0.22660764821855886,0.13237779293135998,1.0,-0.10137556211848543
