date,inflation_protected_return,nominal_return,weight_protected,weight_nominal,turnover,leverage,net_return
2005-08-26 13:30:00+00:00,-0.00047756371888640903,-0.0016398562867031563,1.0113520548246622,-1.0064820156930934,0.0,2.0,0.0010005167163799939
2005-08-29 13:30:00+00:00,0.0016255479477889079,0.0007047137115288038,1.0122226322963244,-1.0064223055251165,0.0,2.0,0.0007640846597113323
2005-08-30 13:30:00+00:00,0.005155571654373858,0.0046913782587341135,1.0171091897535605,-1.0108138394718473,0.0,2.0,0.00032644366710210917
2005-08-31 13:30:00+00:00,0.005509972081456871,0.0065376518116042615,1.023916269015468,-1.0186188012727493,0.0,2.0,-0.0011747406101173656
2005-09-01 13:30:00+00:00,0.002627457767786945,0.0009773200220777323,1.0011675199590508,-0.9995197849986094,0.042535070288217236,2.0,0.0014582352899301834
2005-09-02 13:30:00+00:00,0.000378527113564342,0.00023192471667821124,1.0015700050851182,-0.9997750722724942,0.0,2.0,-2.347921206051945e-05
2005-09-06 13:30:00+00:00,-0.005579429776871314,-0.003137629759067617,0.9986000454451935,-0.9992581034860747,0.0,2.0,-0.002621900411491827
2005-09-07 13:30:00+00:00,-0.0013310772387186143,-0.00326209325422,0.9955188932083239,-0.9942487271908322,0.0,2.0,0.0017598244068962035
2005-09-08 13:30:00+00:00,0.0016186119085732642,0.0,0.9956957293941274,-0.9928183501496818,0.0,2.0,0.001440723815121748
2005-09-09 13:30:00+00:00,0.00266188265825984,0.0008170794120432312,0.9966831102406373,-0.9919743741324558,0.0,2.0,0.0016685788405366568
2005-09-12 13:30:00+00:00,-0.003603148006939061,-0.003155696668870611,0.9937194089820762,-0.989468815321997,0.0,2.0,-0.0006314614547934971
2005-09-13 13:30:00+00:00,0.0034257277003948428,0.003048731799591753,0.9969073399039238,-0.992270165225036,0.0,2.0,0.00021695214315841803
2005-09-14 13:30:00+00:00,-0.0006645422904163478,-0.002104095110718296,0.9949964220546542,-0.9889415008225235,0.0,2.0,0.001254708795534091
