open_time,net_pnl,equity,position,turnover,cost,trading_cost,borrow_cost,financing_cost,rebalanced
2017-08-22 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-08-23 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-08-24 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-08-25 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-08-28 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-08-29 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-08-30 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-08-31 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-01 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-05 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-06 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-07 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-08 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-11 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-12 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2017-09-13 13:30:00+00:00,-0.011872225401418881,0.9881277745985811,4.0,4.0,0.003290986907162444,0.0028,1.479643097196771e-05,0.0004761904761904762,True
2017-09-14 13:30:00+00:00,0.0071607580669721576,0.9952035185317372,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-15 13:30:00+00:00,0.006918613496722283,1.0020889470270364,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-18 13:30:00+00:00,-0.0023211546372958474,0.9997629436206616,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-19 13:30:00+00:00,0.003517816116165812,1.0032799258160756,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-20 13:30:00+00:00,-0.007471473648526703,0.995783946288245,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-21 13:30:00+00:00,-0.0018272758192636302,0.9939643743619815,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-22 13:30:00+00:00,0.00028108520048016766,0.9942437630374192,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-25 13:30:00+00:00,-0.0042742997883745935,0.9899940671314756,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-26 13:30:00+00:00,-0.004673259351652776,0.9853675680991727,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-27 13:30:00+00:00,-0.009912060337934988,0.9756005453091294,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-28 13:30:00+00:00,0.00441642792478335,0.9799092148008666,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-09-29 13:30:00+00:00,0.00716521115988568,0.9869304712424325,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-02 13:30:00+00:00,-0.00547094616674986,0.9815310277639401,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-03 13:30:00+00:00,0.008360924508584213,0.9897375345899075,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-04 13:30:00+00:00,0.0007240357875419676,0.9904541399852242,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-05 13:30:00+00:00,0.0003440177624518989,0.9907948738022732,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-06 13:30:00+00:00,-0.005396688227483969,0.985447862770973,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-09 13:30:00+00:00,0.002202060687619697,0.9876178787692798,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-10 13:30:00+00:00,0.01246783436534349,0.999931334898027,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-11 13:30:00+00:00,0.004993249512819768,1.0049242415488597,4.0,0.0,0.0004909869071624439,0.0,1.479643097196771e-05,0.0004761904761904762,False
2017-10-12 13:30:00+00:00,-0.003910135973861534,1.0009948511209739,4.000000000000001,1.9989818781115158,0.0018873197879247328,0.001399287314678061,1.1841997056195255e-05,0.00047619047619047635,True
2017-10-13 13:30:00+00:00,0.009508010791257385,1.0105123209674252,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-16 13:30:00+00:00,-0.0020615657690496985,1.0084290833573157,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-17 13:30:00+00:00,-0.002325095964799317,1.0060843889648152,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-18 13:30:00+00:00,0.0029782562101618028,1.0090807660441967,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-19 13:30:00+00:00,-0.003655601493488321,1.0053919688887951,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-20 13:30:00+00:00,0.001405073138250557,1.0068046181376937,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-23 13:30:00+00:00,-0.007158509388338629,0.9995973978265323,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-24 13:30:00+00:00,0.0012367132508800931,1.0008336131739697,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-25 13:30:00+00:00,-0.008168283709594963,0.9926585202754656,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-26 13:30:00+00:00,-0.007037965040566976,0.985672224312546,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-27 13:30:00+00:00,0.013016412134135276,0.9985021402133678,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-30 13:30:00+00:00,-0.00089236752612482,0.9976111093286752,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-10-31 13:30:00+00:00,0.003970684400808948,1.0015723081985604,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-11-01 13:30:00+00:00,0.0031103953192820016,1.0046875940179036,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-11-02 13:30:00+00:00,0.004376245455279963,1.0090843535352008,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
