open_time,net_pnl,base_return,risk_position,gross_exposure,turnover,filter_trading_cost,financing_cost,equity
2019-08-14 00:00:00+00:00,-0.06337130071158034,-0.06287130071158034,1.0,1.0,1.0,0.0005,0.0,4.230933535560661
2019-08-15 00:00:00+00:00,-0.0005,-0.0023171388915445897,0.0,0.0,1.0,0.0005,0.0,4.228818068792881
2019-08-16 00:00:00+00:00,0.0,0.022880518245885176,0.0,0.0,0.0,0.0,0.0,4.228818068792881
2019-08-19 00:00:00+00:00,0.017426586403833218,0.017926586403833218,1.0,1.0,1.0,0.0005,0.0,4.302511932254792
2019-08-20 00:00:00+00:00,-0.013686930620543956,-0.013686930620543956,1.0,1.0,0.0,0.0,0.0,4.243623749943958
2019-08-21 00:00:00+00:00,-0.003520928541842331,-0.003520928541842331,1.0,1.0,0.0,0.0,0.0,4.22868225396194
2019-08-22 00:00:00+00:00,-0.004863070775571935,-0.004863070775571935,1.0,1.0,0.0,0.0,0.0,4.208117872873519
2019-08-23 00:00:00+00:00,-0.03591579900880596,-0.03591579900880596,1.0,1.0,0.0,0.0,0.0,4.05697995714603
2019-08-26 00:00:00+00:00,0.018091481278662943,0.018091481278662943,1.0,1.0,0.0,0.0,0.0,4.130376734088649
2019-08-27 00:00:00+00:00,-0.0075750507224790825,-0.0075750507224790825,1.0,1.0,0.0,0.0,0.0,4.09908892082498
2019-08-28 00:00:00+00:00,-0.006547524366858468,-0.006547524366858468,1.0,1.0,0.0,0.0,0.0,4.072250036233958
2019-08-29 00:00:00+00:00,0.014633445009543708,0.014633445009543708,1.0,1.0,0.0,0.0,0.0,4.131841083204301
2019-08-30 00:00:00+00:00,-0.0036368853196863914,-0.0036368853196863914,1.0,1.0,0.0,0.0,0.0,4.116814051025518
2019-09-03 00:00:00+00:00,-0.013621693649917374,-0.013621693649917374,1.0,1.0,0.0,0.0,0.0,4.060736071208773
2019-09-04 00:00:00+00:00,0.019689586677606105,0.019689586677606105,1.0,1.0,0.0,0.0,0.0,4.140690286057719
2019-09-05 00:00:00+00:00,0.025856220066827734,0.025856220066827734,1.0,1.0,0.0,0.0,0.0,4.247752885322603
2019-09-06 00:00:00+00:00,-0.0013049219342477253,-0.0013049219342477253,1.0,1.0,0.0,0.0,0.0,4.242209899411281
2019-09-09 00:00:00+00:00,-0.0029805686702784433,-0.0029805686702784433,1.0,1.0,0.0,0.0,0.0,4.229565701492351
2019-09-10 00:00:00+00:00,-0.0038775863178307592,-0.0038775863178307592,1.0,1.0,0.0,0.0,0.0,4.213165195397878
2019-09-11 00:00:00+00:00,0.011764694651671249,0.011764694651671249,1.0,1.0,0.0,0.0,0.0,4.262731797438783
2019-09-12 00:00:00+00:00,0.005440677750803549,0.005440677750803549,1.0,1.0,0.0,0.0,0.0,4.285923947486752
2019-09-13 00:00:00+00:00,-0.0046440259540574645,-0.0046440259540574645,1.0,1.0,0.0,0.0,0.0,4.266020005437507
2019-09-16 00:00:00+00:00,-0.007085522837804961,-0.007085522837804961,1.0,1.0,0.0,0.0,0.0,4.235793023262446
2019-09-17 00:00:00+00:00,0.004456181426632786,0.004456181426632786,1.0,1.0,0.0,0.0,0.0,4.25466848545977
2019-09-18 00:00:00+00:00,-0.000619851083250282,-0.000619851083250282,1.0,1.0,0.0,0.0,0.0,4.252031224590187
2019-09-19 00:00:00+00:00,0.0019472701912858325,0.0019472701912858325,1.0,1.0,0.0,0.0,0.0,4.260311078246248
2019-09-20 00:00:00+00:00,-0.013771031028804628,-0.013771031028804628,1.0,1.0,0.0,0.0,0.0,4.201642202195359
2019-09-23 00:00:00+00:00,-0.004756724789438694,-0.004756724789438694,1.0,1.0,0.0,0.0,0.0,4.181656146575825
2019-09-24 00:00:00+00:00,-0.017307901809782096,-0.017307901809782096,1.0,1.0,0.0,0.0,0.0,4.109280452588618
2019-09-25 00:00:00+00:00,0.013999969640109366,0.013999969640109366,1.0,1.0,0.0,0.0,0.0,4.166810254167554
2019-09-26 00:00:00+00:00,-0.004382870388630847,-0.004382870388630847,1.0,1.0,0.0,0.0,0.0,4.148547664889519
2019-09-27 00:00:00+00:00,-0.015881644097405168,-0.015881644097405168,1.0,1.0,0.0,0.0,0.0,4.082661907354622
2019-09-30 00:00:00+00:00,0.011666937194269004,0.011666937194269004,1.0,1.0,0.0,0.0,0.0,4.130294067413163
2019-10-01 00:00:00+00:00,-0.010582817030394235,-0.010582817030394235,1.0,1.0,0.0,0.0,0.0,4.086583921016007
2019-10-02 00:00:00+00:00,-0.022417859605176758,-0.022417859605176758,1.0,1.0,0.0,0.0,0.0,3.994971456409897
2019-10-03 00:00:00+00:00,0.014422280825170731,0.014422280825170731,1.0,1.0,0.0,0.0,0.0,4.052588056642782
2019-10-04 00:00:00+00:00,0.018418266538644548,0.018418266538644548,1.0,1.0,0.0,0.0,0.0,4.1272297036413566
2019-10-07 00:00:00+00:00,-0.0040623823174076945,-0.0040623823174076945,1.0,1.0,0.0,0.0,0.0,4.110463318673404
2019-10-08 00:00:00+00:00,-0.019926184558769544,-0.019926184558769544,1.0,1.0,0.0,0.0,0.0,4.028557467963466
2019-10-09 00:00:00+00:00,0.013264439692031947,0.013264439692031947,1.0,1.0,0.0,0.0,0.0,4.081994025543152
2019-10-10 00:00:00+00:00,0.004726877946590868,0.004726877946590868,1.0,1.0,0.0,0.0,0.0,4.1012891130806075
2019-10-11 00:00:00+00:00,0.008448814839849706,0.008448814839849706,1.0,1.0,0.0,0.0,0.0,4.135940145401716
2019-10-14 00:00:00+00:00,0.0002489078941642145,0.0002489078941642145,1.0,1.0,0.0,0.0,0.0,4.136969613553698
2019-10-15 00:00:00+00:00,0.008561157884634506,0.008561157884634506,1.0,1.0,0.0,0.0,0.0,4.172386863579267
2019-10-16 00:00:00+00:00,-0.0016769836939967437,-0.0016769836939967437,1.0,1.0,0.0,0.0,0.0,4.165389838843999
2019-10-17 00:00:00+00:00,0.0015515996323154555,0.0015515996323154555,1.0,1.0,0.0,0.0,0.0,4.1718528561863994
2019-10-18 00:00:00+00:00,-0.006472387613476873,-0.006472387613476873,1.0,1.0,0.0,0.0,0.0,4.14485100743477
2019-10-21 00:00:00+00:00,0.005958447786965503,0.005958447786965503,1.0,1.0,0.0,0.0,0.0,4.169547885747321
2019-10-22 00:00:00+00:00,-0.0052211407544394675,-0.0052211407544394675,1.0,1.0,0.0,0.0,0.0,4.1477780893534595
2019-10-23 00:00:00+00:00,0.0010548514557875597,0.0010548514557875597,1.0,1.0,0.0,0.0,0.0,4.152153379109298
2019-10-24 00:00:00+00:00,0.0064750207151359875,0.0064750207151359875,1.0,1.0,0.0,0.0,0.0,4.179038658251453
2019-10-25 00:00:00+00:00,0.0051374732044986,0.0051374732044986,1.0,1.0,0.0,0.0,0.0,4.200508357378784
2019-10-28 00:00:00+00:00,0.033212118376713055,0.033212118376713055,1.0,1.0,0.0,0.0,0.0,4.340016138186421
2019-10-29 00:00:00+00:00,0.001978540387734576,0.001978540387734576,1.0,1.0,0.0,0.0,0.0,4.348603035399242
2019-10-30 00:00:00+00:00,-0.0059439560706306144,-0.0059439560706306144,1.0,1.0,0.0,0.0,0.0,4.322755129988218
2019-10-31 00:00:00+00:00,-9.53967987350322e-05,-9.53967987350322e-05,1.0,1.0,0.0,0.0,0.0,4.322342752987102
